2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,Unnamed: 10,Unnamed: 11,57,Unnamed: 13,Rúben Dias,4-3-3,Craig Pawson,Match Report,Unnamed: 18
2023-02-28,20:00,FA Cup,Fifth round proper,Tue,Away,W,3.0,0.0,Bristol City,,,70.0,25713.0,Kevin De Bruyne,3-2-4-1,Andre Marriner,Match Report,
2023-03-04,12:30,Premier League,Matchweek 26,Sat,Home,W,2.0,0.0,Newcastle Utd,1.3,0.4,56.0,53419.0,İlkay Gündoğan,4-2-3-1,Simon Hooper,Match Report,
2023-03-11,17:30,Premier League,Matchweek 27,Sat,Away,W,1.0,0.0,Crystal Palace,2.1,0.2,67.0,25844.0,İlkay Gündoğan,4-2-3-1,Robert Jones,Match Report,
2023-03-14,20:00,Champions Lg,Round of 16,Tue,Home,W,7.0,0.0,de RB Leipzig,4.2,0.6,66.0,52038.0,İlkay Gündoğan,3-2-4-1,Slavko Vinčič,Match Report,Leg 2 of 2; Manchester City won
2023-03-18,17:45,FA Cup,Quarter-finals,Sat,Home,W,6.0,0.0,Burnley,,,58.0,51688.0,Kevin De Bruyne,3-2-4-1,John Brooks,Match Report,
2023-04-01,12:30,Premier League,Matchweek 29,Sat,Home,W,4.0,1.0,Liverpool,3.0,0.3,69.0,52877.0,İlkay Gündoğan,3-2-4-1,Simon Hooper,Match Report,
2023-04-08,17:30,Premier League,Matchweek 30,Sat,Away,,,,Southampton,,,,,,,,Head-to-Head,
2023-04-11,20:00,Champions Lg,Quarter-finals,Tue,Home,,,,de Bayern Munich,,,,,,,,Head-to-Head,Leg 1 of 2
2023-04-15,17:30,Premier League,Matchweek 31,Sat,Home,,,,Leicester City,,,,,,,,Head-to-Head,
2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Away,,,,de Bayern Munich,,,,,,,,Head-to-Head,Leg 2 of 2
2023-04-22,16:45,FA Cup,Semi-finals,Sat,Neutral,,,,Sheffield Utd,,,,,,,,Head-to-Head,
2023-04-23,16:30,Premier League,Matchweek 32,Sun,Away,,,,Brighton,,,,,,,,,Match Postponed
2023-04-26,20:00,Premier League,Matchweek 33,Wed,Home,,,,Arsenal,,,,,,,,Head-to-Head,
2023-04-30,14:00,Premier League,Matchweek 34,Sun,Away,,,,Fulham,,,,,,,,Head-to-Head,
2023-05-03,20:00,Premier League,Matchweek 28,Wed,Home,,,,West Ham,,,,,,,,Head-to-Head,
2023-05-07,14:00,Premier League,Matchweek 35,Sun,Home,,,,Leeds United,,,,,,,,Head-to-Head,
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Away,,,,Everton,,,,,,,,Head-to-Head,
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Home,,,,Chelsea,,,,,,,,Head-to-Head,
2023-05-28,15:00,Premier League,Matchweek 38,Sun,Away,,,,Brentford,,,,,,,,Head-to-Head,
