Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-10-29,15:00,Premier League,Matchweek 14,Sat,Away,L,0.0,4.0,Newcastle Utd,0.4,3.4,41.0,52233.0,Emiliano Martínez,4-2-3-1,Paul Tierney,Match Report,
2022-11-06,14:00,Premier League,Matchweek 15,Sun,Home,W,3.0,1.0,Manchester Utd,0.6,0.5,42.0,42058.0,Emiliano Martínez,4-2-2-2,Anthony Taylor,Match Report,
2022-11-10,20:00,EFL Cup,Third round,Thu,Away,L,2.0,4.0,Manchester Utd,,,41.0,72512.0,John McGinn,4-4-2,David Coote,Match Report,
2022-11-13,14:00,Premier League,Matchweek 16,Sun,Away,W,2.0,1.0,Brighton,1.5,0.6,35.0,31581.0,John McGinn,4-4-2,Chris Kavanagh,Match Report,
2022-12-26,17:30,Premier League,Matchweek 17,Mon,Home,L,1.0,3.0,Liverpool,1.4,2.7,48.0,42085.0,John McGinn,4-4-2,Paul Tierney,Match Report,
2023-01-01,14:00,Premier League,Matchweek 18,Sun,Away,W,2.0,0.0,Tottenham,1.0,0.7,41.0,61651.0,John McGinn,4-4-2,John Brooks,Match Report,
2023-01-04,20:00,Premier League,Matchweek 19,Wed,Home,D,1.0,1.0,Wolves,1.8,0.9,56.0,39978.0,Ashley Young,4-4-2,Jarred Gillett,Match Report,
2023-01-08,16:30,FA Cup,Third round proper,Sun,Home,L,1.0,2.0,Stevenage,,,79.0,32343.0,Danny Ings,4-3-3,Graham Scott,Match Report,
2023-01-13,20:00,Premier League,Matchweek 20,Fri,Home,W,2.0,1.0,Leeds United,1.2,2.4,52.0,42008.0,Emiliano Martínez,4-4-2,Michael Oliver,Match Report,
2023-01-21,15:00,Premier League,Matchweek 21,Sat,Away,W,1.0,0.0,Southampton,1.4,0.6,63.0,30158.0,Emiliano Martínez,4-4-2,Michael Salisbury,Match Report,
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Home,L,2.0,4.0,Leicester City,1.7,2.6,62.0,42055.0,Emiliano Martínez,4-4-2,Darren England,Match Report,
2023-02-12,16:30,Premier League,Matchweek 23,Sun,Away,L,1.0,3.0,Manchester City,0.3,3.3,33.0,53392.0,Emiliano Martínez,4-4-2,Robert Jones,Match Report,
2023-02-18,12:30,Premier League,Matchweek 24,Sat,Home,L,2.0,4.0,Arsenal,0.5,3.2,33.0,42066.0,John McGinn,4-4-2,Simon Hooper,Match Report,
2023-02-25,15:00,Premier League,Matchweek 25,Sat,Away,W,2.0,0.0,Everton,1.9,1.6,53.0,39309.0,John McGinn,4-4-2,Anthony Taylor,Match Report,
2023-03-04,15:00,Premier League,Matchweek 26,Sat,Home,W,1.0,0.0,Crystal Palace,1.2,0.2,58.0,41893.0,John McGinn,4-2-3-1,Craig Pawson,Match Report,
2023-03-12,14:00,Premier League,Matchweek 27,Sun,Away,D,1.0,1.0,West Ham,1.5,2.1,59.0,62472.0,John McGinn,4-2-3-1,Chris Kavanagh,Match Report,
2023-03-18,15:00,Premier League,Matchweek 28,Sat,Home,,,,Bournemouth,,,,,,,,Head-to-Head,
2023-04-01,17:30,Premier League,Matchweek 29,Sat,Away,,,,Chelsea,,,,,,,,Head-to-Head,
2023-04-04,19:45,Premier League,Matchweek 7,Tue,Away,,,,Leicester City,,,,,,,,Head-to-Head,
2023-04-08,15:00,Premier League,Matchweek 30,Sat,Home,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
2023-04-15,12:30,Premier League,Matchweek 31,Sat,Home,,,,Newcastle Utd,,,,,,,,Head-to-Head,
2023-04-22,15:00,Premier League,Matchweek 32,Sat,Away,,,,Brentford,,,,,,,,Head-to-Head,
2023-04-25,19:45,Premier League,Matchweek 33,Tue,Home,,,,Fulham,,,,,,,,Head-to-Head,
2023-04-30,14:00,Premier League,Matchweek 34,Sun,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,
2023-05-06,15:00,Premier League,Matchweek 35,Sat,Away,,,,Wolves,,,,,,,,Head-to-Head,
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,,,,Tottenham,,,,,,,,Head-to-Head,
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,,,,Liverpool,,,,,,,,Head-to-Head,
2023-05-28,15:00,Premier League,Matchweek 38,Sun,Home,,,,Brighton,,,,,,,,Head-to-Head,
