Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Gabriel Jesus,br BRA,FW,25-312,13.5,325,402,80.8,4807,1068,176,207,85.0,113,128,88.3,17,25,68.0,5,2.8,1.7,2.2,22,23,12,1,38,Matches
Oleksandr Zinchenko,ua UKR,DF,26-056,11.0,736,842,87.4,11978,3661,376,399,94.2,303,352,86.1,40,58,69.0,1,0.6,1.1,0.4,7,94,16,3,108,Matches
Eddie Nketiah,eng ENG,FW,23-255,7.7,138,166,83.1,1944,221,89,104,85.6,39,44,88.6,4,6,66.7,0,0.3,0.4,-0.3,4,5,4,0,9,Matches
Takehiro Tomiyasu,jp JPN,DF,24-096,5.7,286,343,83.4,4982,1670,117,133,88.0,136,158,86.1,25,38,65.8,1,0.6,0.2,0.4,4,33,6,2,42,Matches
Kieran Tierney,sct SCO,DF,25-249,5.2,223,302,73.8,4132,1321,93,109,85.3,106,132,80.3,21,44,47.7,0,0.2,0.3,-0.2,3,24,6,1,25,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,2.2,132,140,94.3,2321,539,59,62,95.2,60,63,95.2,11,12,91.7,0,0.0,0.1,0.0,1,17,1,0,12,Matches
Fabio Vieira,pt POR,"MF,FW",22-255,2.9,104,132,78.8,1564,345,62,67,92.5,35,43,81.4,4,12,33.3,1,1.1,0.8,-0.1,4,11,4,1,12,Matches
Mohamed Elneny,eg EGY,MF,30-213,1.3,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0,0.0,0.0,0.0,0,3,2,0,2,Matches
Reiss Nelson,eng ENG,FW,23-061,0.7,35,39,89.7,407,63,24,25,96.0,6,7,85.7,2,2,100.0,1,0.1,0.2,0.9,2,0,2,1,1,Matches
Emile Smith Rowe,eng ENG,"MF,FW",22-196,0.6,19,22,86.4,279,75,9,9,100.0,7,7,100.0,2,3,66.7,0,0.3,0.2,-0.3,3,1,2,0,2,Matches
Leandro Trossard,be BEL,FW,28-067,0.5,11,18,61.1,166,44,5,5,100.0,6,10,60.0,0,1,0.0,0,0.0,0.0,0.0,0,0,2,0,2,Matches
Jorginho,it ITA,MF,31-051,0.4,24,30,80.0,339,100,10,12,83.3,7,8,87.5,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,4,Matches
Cédric Soares,pt POR,DF,31-162,0.3,19,24,79.2,257,54,10,10,100.0,8,10,80.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,3,Matches
Rob Holding,eng ENG,DF,27-142,0.2,5,6,83.3,103,21,1,1,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Marquinhos,br BRA,MF,19-308,0.0,2,3,66.7,34,5,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ethan Nwaneri,eng ENG,FW,15-325,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,24.9,20.0,9279,11146,83.2,159062,53193,4319,4770,90.5,3955,4477,88.3,776,1351,57.4,31,27.0,23.0,4.0,240,835,220,30,1030,
Opponent Total,,,27.4,20.0,6361,8326,76.4,111572,40840,2979,3399,87.6,2558,3064,83.5,640,1336,47.9,10,13.7,12.0,-3.7,130,418,112,26,484,
