Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Boubakary Soumaré,fr FRA,MF,23-347,14,836.0,60.0,44.2,9.3,12,65.0,2,2,26.0,0,1.14,11.0,14.0,-3.0,-0.32,-0.15,9.7,17.2,-7.5,-0.81,-0.72,Matches
Jamie Vardy,eng ENG,FW,36-029,21,1161.0,55.0,61.4,12.9,11,78.0,4,10,30.0,0,1.0,17.0,20.0,-3.0,-0.23,0.01,13.1,20.0,-6.9,-0.53,-0.33,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-055,14,876.0,63.0,46.3,9.7,10,80.0,6,4,20.0,1,0.71,15.0,24.0,-9.0,-0.92,-1.28,10.9,16.4,-5.5,-0.57,-0.31,Matches
Jonny Evans,nir NIR,DF,35-037,9,810.0,90.0,42.9,9.0,9,90.0,9,0,,1,0.44,15.0,24.0,-9.0,-1.0,-1.33,10.1,14.8,-4.6,-0.52,-0.19,Matches
Patson Daka,zm ZAM,FW,24-123,17,706.0,42.0,37.4,7.8,9,61.0,1,8,20.0,3,1.06,12.0,17.0,-5.0,-0.64,-0.64,10.1,13.1,-3.0,-0.38,0.04,Matches
Luke Thomas,eng ENG,DF,21-244,10,691.0,69.0,36.6,7.7,8,85.0,6,2,7.0,11,1.0,7.0,15.0,-8.0,-1.04,-1.27,8.7,14.3,-5.5,-0.72,-0.49,Matches
Dennis Praet,be BEL,MF,28-271,11,363.0,33.0,19.2,4.0,4,43.0,0,7,27.0,7,1.55,7.0,6.0,1.0,0.25,0.6,4.5,8.0,-3.6,-0.88,-0.59,Matches
Ayoze Pérez,es ESP,"MF,FW",29-195,8,382.0,48.0,20.2,4.2,3,75.0,1,5,32.0,10,0.75,4.0,5.0,-1.0,-0.24,0.0,5.7,5.6,0.2,0.04,0.55,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-129,15,367.0,24.0,19.4,4.1,2,69.0,0,13,18.0,6,0.47,7.0,12.0,-5.0,-1.23,-1.23,7.6,8.9,-1.3,-0.32,0.1,Matches
Nampalys Mendy,sn SEN,MF,30-231,10,352.0,35.0,18.6,3.9,2,79.0,1,8,24.0,7,1.7,6.0,4.0,2.0,0.51,0.92,5.7,4.8,0.9,0.23,0.78,Matches
Wesley Fofana,fr FRA,DF,22-054,2,180.0,90.0,9.5,2.0,2,90.0,2,0,,0,0.5,4.0,6.0,-2.0,-1.0,-0.84,1.1,3.5,-2.4,-1.22,-0.9,Matches
Marc Albrighton,eng ENG,"FW,MF",33-083,6,237.0,40.0,12.5,2.6,1,67.0,0,5,34.0,13,1.67,4.0,3.0,1.0,0.38,0.71,4.9,4.3,0.6,0.24,0.74,Matches
Harry Souttar,au AUS,DF,24-110,1,90.0,90.0,4.8,1.0,1,90.0,1,0,,0,3.0,4.0,2.0,2.0,2.0,2.35,2.6,1.7,0.9,0.88,1.35,Matches
Tetê,br BRA,FW,22-359,1,82.0,82.0,4.3,0.9,1,82.0,0,0,,0,3.0,4.0,2.0,2.0,2.2,2.54,2.5,1.5,1.0,1.15,1.62,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-055,1,80.0,80.0,4.2,0.9,1,80.0,0,0,,0,3.0,4.0,2.0,2.0,2.25,2.6,2.5,1.5,1.0,1.18,1.65,Matches
Çağlar Söyüncü,tr TUR,DF,26-262,2,79.0,40.0,4.2,0.9,1,71.0,0,1,8.0,12,1.5,0.0,1.0,-1.0,-1.14,-0.94,0.2,1.2,-1.1,-1.23,-0.86,Matches
Lewis Brunt,eng ENG,DF,22-095,1,23.0,23.0,1.2,0.3,0,,0,1,23.0,5,0.0,0.0,1.0,-1.0,-3.91,-3.72,0.0,0.8,-0.8,-3.31,-2.94,Matches
Sammy Braybroke,mx MEX,MF,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Samuel Braybrooke,eng ENG,MF,18-334,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Daniel Iversen,dk DEN,GK,25-205,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
Wanya Marcal-Madivadua,eng ENG,MF,20-113,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kasey McAteer,eng ENG,MF,21-079,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Jannik Vestergaard,dk DEN,DF,30-190,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Joe Wormleighton,eng ENG,MF,19-041,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.1,21,1890.0,90.0,100.0,21.0,231,82.0,158,73,24.0,115,1.0,32.0,37.0,-5.0,-0.24,,25.3,33.8,-8.5,-0.41,,
Opponent Total,,,27.2,21,1890.0,90.0,100.0,21.0,231,82.0,158,73,24.0,109,1.86,37.0,32.0,5.0,0.24,,33.8,25.3,8.5,0.41,,
