Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Boubakary Soumaré,fr FRA,MF,23-347,14,12,836.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,10.0,35.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Jamie Vardy,eng ENG,FW,36-029,21,11,1161.0,12.9,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,0.7,3.2,12.0,8.0,69.0,0.08,0.31,0.39,0.08,0.39,0.19,0.05,0.24,0.19,0.24,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-055,14,10,876.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,9.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Jonny Evans,nir NIR,DF,35-037,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Patson Daka,zm ZAM,FW,24-123,17,9,706.0,7.8,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,2.3,4.7,11.0,11.0,48.0,0.38,0.38,0.76,0.38,0.76,0.31,0.3,0.6,0.31,0.6,Matches
Luke Thomas,eng ENG,DF,21-244,10,8,691.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,5.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,Matches
Dennis Praet,be BEL,MF,28-271,11,4,363.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,10.0,10.0,24.0,0.25,0.0,0.25,0.25,0.25,0.12,0.0,0.12,0.12,0.12,Matches
Ayoze Pérez,es ESP,"MF,FW",29-195,8,3,382.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.5,2.6,17.0,20.0,43.0,0.0,0.24,0.24,0.0,0.24,0.27,0.35,0.62,0.27,0.62,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-129,15,2,367.0,4.1,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,2.4,2.4,1.9,4.4,11.0,8.0,38.0,0.49,0.74,1.23,0.49,1.23,0.6,0.47,1.07,0.6,1.07,Matches
Nampalys Mendy,sn SEN,MF,30-231,10,2,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Wesley Fofana,fr FRA,DF,22-054,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Marc Albrighton,eng ENG,"FW,MF",33-083,6,1,237.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.3,5.0,7.0,18.0,0.38,0.0,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches
Harry Souttar,au AUS,DF,24-110,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tetê,br BRA,FW,22-359,1,1,82.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,5.0,1.0,7.0,1.1,0.0,1.1,1.1,1.1,0.87,0.0,0.87,0.87,0.87,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-055,1,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Çağlar Söyüncü,tr TUR,DF,26-262,2,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lewis Brunt,eng ENG,DF,22-095,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sammy Braybroke,mx MEX,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Samuel Braybrooke,eng ENG,MF,18-334,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniel Iversen,dk DEN,GK,25-205,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wanya Marcal-Madivadua,eng ENG,MF,20-113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kasey McAteer,eng ENG,MF,21-079,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jannik Vestergaard,dk DEN,DF,30-190,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joe Wormleighton,eng ENG,MF,19-041,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.1,21,231,1890.0,21.0,30.0,21.0,51.0,29.0,1.0,2.0,27.0,0.0,25.3,23.7,20.6,44.3,334.0,783.0,775.0,1.43,1.0,2.43,1.38,2.38,1.2,0.98,2.18,1.13,2.11,
Opponent Total,,,27.2,21,231,1890.0,21.0,33.0,24.0,57.0,31.0,2.0,2.0,33.0,1.0,33.8,32.4,26.5,58.9,375.0,815.0,809.0,1.57,1.14,2.71,1.48,2.62,1.61,1.26,2.87,1.54,2.8,
