Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Dango Ouattara,bf BFA,MF,20-363,2,180.0,90.0,9.5,2.0,2,90.0,2,0,,0,0.5,1.0,2.0,-1.0,-0.5,0.71,2.6,4.1,-1.5,-0.77,0.14,Matches
Joe Rothwell,eng ENG,"MF,DF",28-029,7,157.0,22.0,8.3,1.7,1,74.0,0,6,14.0,5,0.14,1.0,2.0,-1.0,-0.57,0.62,2.2,3.0,-0.8,-0.48,0.46,Matches
Antoine Semenyo,gh GHA,FW,23-033,1,90.0,90.0,4.8,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,0.15,1.1,2.2,-1.1,-1.07,-0.18,Matches
Hamed Junior Traorè,ci CIV,FW,22-358,1,60.0,60.0,3.2,0.7,1,60.0,0,0,,0,0.0,0.0,0.0,0.0,0.0,1.18,0.4,1.9,-1.5,-2.18,-1.32,Matches
Siriki Dembélé,ci CIV,"FW,MF",26-155,6,110.0,18.0,5.8,1.2,0,,0,6,18.0,9,0.17,0.0,2.0,-2.0,-1.64,-0.52,1.4,2.4,-1.0,-0.82,0.09,Matches
Junior Stanislas,eng ENG,MF,33-075,4,61.0,15.0,3.2,0.7,0,,0,4,15.0,5,0.75,0.0,1.0,-1.0,-1.48,-0.34,0.4,0.7,-0.3,-0.48,0.44,Matches
Jamal Lowe,jm JAM,"MF,FW",28-203,2,12.0,6.0,0.6,0.1,0,,0,2,6.0,8,0.0,0.0,0.0,0.0,0.0,1.15,0.1,0.7,-0.7,-4.95,-4.07,Matches
Matías Viña,uy URU,MF,25-092,1,10.0,10.0,0.5,0.1,0,,0,1,10.0,0,0.0,0.0,1.0,-1.0,-9.0,-7.9,0.1,0.3,-0.2,-2.15,-1.25,Matches
Owen Bevan,wls WAL,DF,19-106,1,9.0,9.0,0.5,0.1,0,,0,1,9.0,0,0.0,0.0,1.0,-1.0,-10.0,-8.9,0.0,0.3,-0.3,-2.78,-1.89,Matches
Emiliano Marcondes,dk DEN,MF,27-337,1,9.0,9.0,0.5,0.1,0,,0,1,9.0,9,0.0,0.0,1.0,-1.0,-10.0,-8.9,0.0,0.3,-0.3,-2.78,-1.89,Matches
Daniel Adu-Adjei,eng ENG,FW,17-233,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Michael DaCosta,es ESP,FW,17-341,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Will Dennis,eng ENG,GK,22-214,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ben Greenwood,ie IRL,DF,19-354,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
James Hill,eng ENG,DF,21-030,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Cameron Plain,eng ENG,GK,20-073,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Euan Pollock,eng ENG,FW,20-129,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Dominic Sadi,eng ENG,MF,19-160,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Christian Saydee,lr LBR,FW,20-275,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Maxwell Wellings,eng ENG,DF,18-007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,26.9,21,1890.0,90.0,100.0,21.0,231,85.0,162,70,18.0,119,0.81,19.0,43.0,-24.0,-1.14,,16.4,35.3,-18.9,-0.9,,
Opponent Total,,,27.3,21,1890.0,90.0,100.0,21.0,231,85.0,162,70,18.0,100,1.95,43.0,19.0,24.0,1.14,,35.3,16.4,18.9,0.9,,
