Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-12-20,19:45,EFL Cup,Fourth round,Tue,Away,L,0,1,Newcastle Utd,,,37.0,51579.0,Adam Smith,4-4-2,John Brooks,Match Report,
2022-12-27,17:30,Premier League,Matchweek 17,Tue,Away,L,0,2,Chelsea,0.5,1.8,40.0,40046.0,Lloyd Kelly,5-3-2,Simon Hooper,Match Report,
2022-12-31,15:00,Premier League,Matchweek 18,Sat,Home,L,0,2,Crystal Palace,0.6,1.6,59.0,9972.0,Lloyd Kelly,4-4-2,Andre Marriner,Match Report,
2023-01-03,20:00,Premier League,Matchweek 19,Tue,Away,L,0,3,Manchester Utd,0.6,2.2,42.0,73322.0,Lloyd Kelly,4-4-2,Michael Salisbury,Match Report,
2023-01-07,15:00,FA Cup,Third round proper,Sat,Home,L,2,4,Burnley,,,46.0,10116.0,Adam Smith,4-4-2,Tim Robinson,Match Report,
2023-01-14,17:30,Premier League,Matchweek 20,Sat,Away,L,0,2,Brentford,0.6,1.4,50.0,17031.0,Lloyd Kelly,4-4-1-1,Jarred Gillett,Match Report,
2023-01-21,15:00,Premier League,Matchweek 21,Sat,Home,D,1,1,Nott'ham Forest,1.4,1.9,43.0,10248.0,Lloyd Kelly,4-4-2,Andy Madley,Match Report,
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Away,L,0,1,Brighton,1.1,2.2,29.0,31600.0,Neto,4-4-1-1,Craig Pawson,Match Report,
2023-02-11,17:30,Premier League,Matchweek 23,Sat,Home,,,,Newcastle Utd,,,,,,,,Head-to-Head,
2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,,,,Wolves,,,,,,,,Head-to-Head,
2023-02-25,17:30,Premier League,Matchweek 25,Sat,Home,,,,Manchester City,,,,,,,,Head-to-Head,
2023-03-04,15:00,Premier League,Matchweek 26,Sat,Away,,,,Arsenal,,,,,,,,Head-to-Head,
2023-03-11,12:30,Premier League,Matchweek 27,Sat,Home,,,,Liverpool,,,,,,,,Head-to-Head,
2023-03-18,15:00,Premier League,Matchweek 28,Sat,Away,,,,Aston Villa,,,,,,,,Head-to-Head,
2023-04-01,15:00,Premier League,Matchweek 29,Sat,Home,,,,Fulham,,,,,,,,Head-to-Head,
2023-04-08,15:00,Premier League,Matchweek 30,Sat,Away,,,,Leicester City,,,,,,,,Head-to-Head,
2023-04-15,15:00,Premier League,Matchweek 31,Sat,Away,,,,Tottenham,,,,,,,,Head-to-Head,
2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,,,,West Ham,,,,,,,,Head-to-Head,
2023-04-26,19:45,Premier League,Matchweek 33,Wed,Away,,,,Southampton,,,,,,,,Head-to-Head,
2023-04-29,15:00,Premier League,Matchweek 34,Sat,Home,,,,Leeds United,,,,,,,,Head-to-Head,
2023-05-06,15:00,Premier League,Matchweek 35,Sat,Home,,,,Chelsea,,,,,,,,Head-to-Head,
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Away,,,,Crystal Palace,,,,,,,,Head-to-Head,
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Home,,,,Manchester Utd,,,,,,,,Head-to-Head,
2023-05-28,15:00,Premier League,Matchweek 38,Sun,Away,,,,Everton,,,,,,,,Head-to-Head,
