Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Saman Ghoddos,ir IRN,"MF,FW",29-156,9,90.0,10.0,4.8,1.0,0,,0,9,10.0,11,1.44,1.0,4.0,-3.0,-3.0,-3.5,1.6,2.6,-1.0,-1.04,-1.26,Matches
Sergi Canós,es ESP,"FW,DF",26-007,5,77.0,15.0,4.1,0.9,0,,0,5,15.0,7,1.6,0.0,2.0,-2.0,-2.34,-2.78,0.8,1.7,-1.0,-1.13,-1.34,Matches
Kevin Schade,de GER,"FW,MF",21-074,2,26.0,13.0,1.4,0.3,0,,0,2,13.0,1,3.0,1.0,0.0,1.0,3.46,3.17,0.6,0.1,0.5,1.63,1.5,Matches
Mads Bech Sørensen,dk DEN,"DF,MF",24-033,4,21.0,5.0,1.1,0.2,0,,0,4,5.0,3,2.0,1.0,0.0,1.0,4.29,4.0,0.3,0.3,0.0,0.15,0.0,Matches
Halil Dervişoğlu,tr TUR,MF,23-063,1,8.0,8.0,0.4,0.1,0,,0,1,8.0,1,1.0,1.0,0.0,1.0,11.25,10.96,0.1,0.1,0.0,-0.25,-0.4,Matches
Matthew Cox,eng ENG,GK,19-283,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
Tristan Crama,fr FRA,MF,21-093,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Charlie Goode,eng ENG,DF,27-190,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Finley Stevens,wls WAL,DF,19-305,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Thomas Strakosha,al ALB,GK,27-327,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Ryan Trevitt,eng ENG,MF,19-334,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Yehor Yarmoliuk,ua UKR,MF,18-345,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,26.8,21,1890.0,90.0,100.0,21.0,231,82.0,137,94,19.0,95,1.57,35.0,28.0,7.0,0.33,,29.5,26.3,3.2,0.15,,
Opponent Total,,,27.2,21,1890.0,90.0,100.0,21.0,231,82.0,137,94,19.0,117,1.0,28.0,35.0,-7.0,-0.33,,26.3,29.5,-3.2,-0.15,,
