name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Peter Leeuwenburgh,€500k,Goalkeeper,"Mar 23, 1994 (29)",Netherlands,"1,96m",right,"Jul 1, 2021","Jun 30, 2023"
Jan de Boer,€25k,Goalkeeper,"May 20, 2000 (22)",Netherlands,"1,99m",right,"Aug 29, 2019","Jun 30, 2023"
Mads Bech Sörensen,€4.00m,Centre-Back,"Jan 7, 1999 (24)",Denmark,"1,93m",left,"Jan 19, 2023","Jun 30, 2023"
Radinio Balker,€1.30m,Centre-Back,"Sep 3, 1998 (24)",Netherlands,"1,93m",right,"Jul 1, 2021","Jun 30, 2024"
Thijmen Blokzijl,€1.00m,Centre-Back,"Feb 25, 2005 (18)",Netherlands,"1,90m",right,"Jan 1, 2023","Jun 30, 2026"
Matej Chalus,€600k,Centre-Back,"Feb 2, 1998 (25)",Czech Republic,"1,90m",right,"Jan 27, 2023","Jun 30, 2023"
Nordin Musampa,€500k,Centre-Back,"Oct 13, 2001 (21)",Netherlands,"1,79m",left,"Jul 1, 2022","Jun 30, 2025"
Maxim Mariani,-,Centre-Back,"Nov 3, 2004 (18)",Netherlands,-,,"Jan 1, 2023","Jun 30, 2025"
Jetro Willems,€800k,Left-Back,"Mar 30, 1994 (29)",Netherlands,"1,77m",left,"Feb 23, 2023","Jun 30, 2023"
Isak Dybvik Määttä,€600k,Left-Back,"Sep 19, 2001 (21)",Norway,"1,88m",left,"Aug 1, 2022","Jun 30, 2026"
Liam van Gelderen,€600k,Right-Back,"Mar 23, 2001 (22)",Netherlands,"1,78m",right,"Jul 1, 2022","Jun 30, 2026"
Damil Dankerlui,€500k,Right-Back,"Aug 24, 1996 (26)",Suriname,"1,72m",right,"Jul 27, 2020","Jun 30, 2024"
Laros Duarte,€1.50m,Defensive Midfield,"Feb 28, 1997 (26)",Netherlands,"1,80m",right,"Aug 31, 2021","Jun 30, 2025"
Joey Pelupessy,€450k,Defensive Midfield,"May 15, 1993 (29)",Netherlands,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Emmanuel Matuta,€350k,Defensive Midfield,"Feb 22, 2002 (21)",Belgium,"1,77m",both,"Jan 20, 2022","Jun 30, 2026"
Johan Hove,€2.30m,Central Midfield,"Sep 7, 2000 (22)",Norway,"1,77m",right,"Jan 17, 2023","Jun 30, 2026"
Aimar Sher,€1.00m,Central Midfield,"Dec 20, 2002 (20)",Sweden,"1,75m",right,"Jan 17, 2023","Jun 30, 2024"
Jorg Schreuders,€25k,Central Midfield,"Sep 9, 2004 (18)",Netherlands,-,,"Jan 1, 2023","Jun 30, 2024"
Tomas Suslov,€2.50m,Attacking Midfield,"Jun 7, 2002 (20)",Slovakia,"1,73m",left,"Jul 1, 2020","Jun 30, 2026"
Daleho Irandust,€1.00m,Attacking Midfield,"Jun 4, 1998 (24)",Sweden,"1,85m",left,"Aug 31, 2021","Jun 30, 2026"
Luciano Valente,€400k,Attacking Midfield,"Oct 4, 2003 (19)",Italy,"1,89m",right,"Jul 1, 2022","Jun 30, 2026"
Paulos Abraham,€1.20m,Left Winger,"Jul 16, 2002 (20)",Sweden,"1,78m",both,"Jul 1, 2021","Jun 30, 2026"
Ragnar Oratmangoen,€550k,Left Winger,"Jan 21, 1998 (25)",Netherlands,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Oliver Antman,€700k,Right Winger,"Aug 15, 2001 (21)",Finland,"1,85m",right,"Jan 31, 2023","Jun 30, 2023"
Ricardo Pepi,€9.00m,Centre-Forward,"Jan 9, 2003 (20)",United States,"1,85m",right,"Aug 31, 2022","Jun 30, 2023"
Florian Krüger,€1.20m,Centre-Forward,"Feb 13, 1999 (24)",Germany,"1,86m",,"Aug 30, 2022","Jun 30, 2026"
Elvis Manu,€600k,Centre-Forward,"Aug 13, 1993 (29)",Netherlands,"1,79m",right,"Jan 31, 2023","Jun 30, 2023"
Thom van Bergen,€150k,Centre-Forward,"Jan 6, 2004 (19)",Netherlands,-,right,"Jan 1, 2023","Jun 30, 2025"
João Virgínia,€700k,Goalkeeper,"Oct 10, 1999 (23)",Portugal,"1,92m",right,"Jul 8, 2022","Jun 30, 2023"
Robbin Ruiter,€350k,Goalkeeper,"Mar 25, 1987 (36)",Netherlands,"1,96m",right,"Jul 23, 2022","Jun 30, 2023"
Brett Minnema,€25k,Goalkeeper,"Jan 6, 2002 (21)",Netherlands,"1,92m",,"Jul 1, 2020","Jun 30, 2024"
Leon Bergsma,€550k,Centre-Back,"Jan 25, 1997 (26)",Netherlands,"1,86m",both,"Jul 28, 2022","Jun 30, 2025"
Marco Tol,€550k,Centre-Back,"Apr 25, 1998 (24)",Netherlands,"1,88m",right,"Jul 1, 2021","Jun 30, 2024"
Floris Smand,€300k,Centre-Back,"Jan 20, 2003 (20)",Netherlands,"1,85m",right,"Jul 1, 2022","Jun 30, 2024"
Calvin Mac-Intosch,€250k,Centre-Back,"Aug 9, 1989 (33)",Suriname,"1,81m",right,"Jul 1, 2019","Jun 30, 2023"
Jhondly van der Meer,€100k,Centre-Back,"Mar 22, 2002 (21)",Haiti,"1,83m",right,"Jul 1, 2021","Jun 30, 2024"
Alex Bangura,€900k,Left-Back,"Jul 13, 1999 (23)",Sierra Leone,"1,83m",left,"Jul 1, 2019","Jun 30, 2024"
Maxim Gullit,€350k,Left-Back,"May 20, 2001 (21)",Netherlands,"1,91m",left,"Aug 27, 2021","Jun 30, 2023"
Sekou Sylla,€200k,Left-Back,"Jan 9, 1999 (24)",Guinea,"1,80m",left,"Jan 7, 2022","Jun 30, 2024"
Sai van Wermeskerken,€550k,Right-Back,"Jun 28, 1994 (28)",Japan,"1,78m",right,"Aug 10, 2022","Jun 30, 2023"
Doke Schmidt,€300k,Right-Back,"Apr 7, 1992 (30)",Netherlands,"1,77m",right,"Jul 23, 2019","Jun 30, 2023"
Mees Hoedemakers,€900k,Defensive Midfield,"Feb 18, 1998 (25)",Netherlands,"1,81m",both,"Jul 1, 2020","Jun 30, 2023"
Daniël van Kaam,€700k,Defensive Midfield,"Jun 23, 2000 (22)",Netherlands,"1,75m",left,"Aug 31, 2022","Jun 30, 2025"
Jamie Jacobs,€600k,Central Midfield,"Dec 3, 1997 (25)",Netherlands,"1,82m",left,"Jul 1, 2019","Jun 30, 2023"
Ben Rienstra,€300k,Central Midfield,"Jun 5, 1990 (32)",Netherlands,"1,82m",right,"Jan 27, 2023","Jun 30, 2023"
Vincent Pichel,€50k,Central Midfield,"Nov 12, 2001 (21)",Netherlands,-,,"Jan 1, 2023","Jun 30, 2025"
Robin Maulun,€750k,Attacking Midfield,"Nov 23, 1996 (26)",France,"1,76m",right,"Jul 1, 2018","Jun 30, 2023"
Mitchel Paulissen,€500k,Attacking Midfield,"Apr 21, 1993 (29)",Netherlands,"1,83m",right,"Jul 1, 2019","Jun 30, 2023"
Navarone Foor,€500k,Attacking Midfield,"Feb 4, 1992 (31)",Netherlands,"1,70m",both,"Jan 30, 2023","Jun 30, 2023"
Felix Mambimbi,€3.00m,Left Winger,"Jan 18, 2001 (22)",Switzerland,"1,70m",right,"Aug 31, 2022","Jun 30, 2023"
Silvester van der Water,€800k,Right Winger,"Sep 30, 1996 (26)",Netherlands,"1,84m",left,"Jul 1, 2022","Jun 30, 2025"
Michael Breij,€450k,Right Winger,"Jan 15, 1997 (26)",Netherlands,"1,81m",right,"Jan 1, 2020","Jun 30, 2024"
David Sambissa,€400k,Right Winger,"Jan 11, 1996 (27)",Gabon,"1,77m",left,"Jul 1, 2018","Jun 30, 2023"
Remco Balk,€400k,Right Winger,"Mar 2, 2001 (22)",Netherlands,-,right,"Jul 1, 2022","Jun 30, 2023"
Mimoun Mahi,€1.00m,Centre-Forward,"Mar 13, 1994 (29)",Morocco,"1,81m",right,"Jan 17, 2023","Jun 30, 2023"
Roberts Uldrikis,€600k,Centre-Forward,"Apr 3, 1998 (25)",Latvia,"1,98m",right,"Aug 31, 2021","Jun 30, 2024"
Björn Johnsen,€500k,Centre-Forward,"Nov 6, 1991 (31)",Norway,"1,95m",right,"Jan 31, 2023","Jun 30, 2023"
Milan Smit,€150k,Centre-Forward,"Feb 13, 2003 (20)",Netherlands,"1,80m",,"Jul 1, 2022","Jun 30, 2024"
Andries Noppert,€5.00m,Goalkeeper,"Apr 7, 1994 (28)",Netherlands,"2,03m",left,"Jul 1, 2022","Jun 30, 2024"
Xavier Mous,€450k,Goalkeeper,"Aug 4, 1995 (27)",Netherlands,"1,88m",right,"Jul 1, 2021","Jun 30, 2023"
Jan Bekkema,€50k,Goalkeeper,"Apr 9, 1996 (26)",Netherlands,"1,86m",right,"Jul 1, 2020","Jun 30, 2023"
Pawel Bochniewicz,€2.50m,Centre-Back,"Jan 30, 1996 (27)",Poland,"1,94m",left,"Sep 10, 2020","Jun 30, 2026"
Sven van Beek,€1.00m,Centre-Back,"Jul 28, 1994 (28)",Netherlands,"1,89m",right,"Jul 19, 2021","Jun 30, 2025"
Joost van Aken,€750k,Centre-Back,"May 13, 1994 (28)",Netherlands,"1,93m",left,"Feb 7, 2022","Jun 30, 2023"
Jeffrey Bruma,€450k,Centre-Back,"Nov 13, 1991 (31)",Netherlands,"1,89m",right,"Jan 30, 2023","Jun 30, 2023"
Syb van Ottele,€350k,Centre-Back,"Feb 2, 2002 (21)",Netherlands,"1,85m",both,"Jan 8, 2021","Jun 30, 2024"
Timo Zaal,€100k,Centre-Back,"Feb 9, 2004 (19)",Netherlands,"1,84m",right,"Jul 1, 2021","Jun 30, 2023"
Mats Köhlert,€1.20m,Left-Back,"May 2, 1998 (24)",Germany,"1,69m",left,"Jul 1, 2022","Jun 30, 2025"
Rami Kaib,€700k,Left-Back,"May 8, 1997 (25)",Tunisia,"1,78m",,"Jan 13, 2021","Jun 30, 2024"
Milan van Ewijk,€5.00m,Right-Back,"Sep 8, 2000 (22)",Netherlands,"1,75m",right,"Jul 1, 2021","Jun 30, 2025"
Hussein Ali,€300k,Right-Back,"Mar 1, 2002 (21)",Sweden,"1,80m",right,"Jul 19, 2022","Jun 30, 2025"
Thom Haye,€2.00m,Defensive Midfield,"Feb 9, 1995 (28)",Netherlands,"1,87m",right,"Jan 31, 2022","Jun 30, 2024"
Anas Tahiri,€900k,Central Midfield,"May 15, 1995 (27)",Morocco,"1,79m",right,"Jan 7, 2022","Jun 30, 2024"
Djenahro Nunumete,€50k,Central Midfield,"Jan 28, 2002 (21)",Netherlands,-,left,"Jul 1, 2021","Jun 30, 2024"
Pelle van Amersfoort,€1.50m,Attacking Midfield,"Apr 1, 1996 (27)",Netherlands,"1,93m",right,"Jan 1, 2023","Jun 30, 2025"
Simon Olsson,€1.50m,Attacking Midfield,"Sep 14, 1997 (25)",Sweden,"1,85m",,"Aug 2, 2022","Jun 30, 2026"
Tibor Halilovic,€900k,Attacking Midfield,"Mar 18, 1995 (28)",Croatia,"1,76m",right,"Jan 11, 2021","Jun 30, 2024"
Rami Al Hajj,€600k,Attacking Midfield,"Sep 17, 2001 (21)",Sweden,"1,80m",right,"Jul 1, 2019","Jun 30, 2023"
Osame Sahraoui,€3.50m,Left Winger,"Jun 11, 2001 (21)",Norway,"1,70m",right,"Jan 31, 2023","Jun 30, 2026"
Alex Timossi Andersson,€750k,Right Winger,"Jan 19, 2001 (22)",Sweden,"1,70m",right,"Jul 6, 2022","Jun 30, 2026"
Ché Nunnely,€700k,Right Winger,"Feb 4, 1999 (24)",Netherlands,"1,70m",right,"Jan 19, 2023","Jun 30, 2023"
Sydney van Hooijdonk,€3.00m,Centre-Forward,"Feb 6, 2000 (23)",Netherlands,"1,90m",right,"Jan 25, 2022","Jun 30, 2023"
Daniel Karlsbakk,€2.50m,Centre-Forward,"Apr 7, 2003 (19)",Norway,"1,86m",right,"Jan 31, 2023","Jun 30, 2026"
Antoine Colassin,€450k,Centre-Forward,"Feb 26, 2001 (22)",Belgium,"1,86m",right,"Aug 30, 2022","Jun 30, 2023"
Filip Stankovic,€1.00m,Goalkeeper,"Feb 25, 2002 (21)",Serbia,"1,87m",right,"Aug 4, 2021","Jun 30, 2023"
Barry Lauwers,€175k,Goalkeeper,"Nov 29, 1999 (23)",Netherlands,"1,87m",left,"Jul 1, 2020","Jun 30, 2023"
Kayne van Oevelen,€50k,Goalkeeper,"Aug 7, 2003 (19)",Netherlands,"1,99m",both,"Jul 1, 2022","Jun 30, 2025"
Xavier Mbuyamba,€1.30m,Centre-Back,"Dec 31, 2001 (21)",Netherlands,"1,95m",right,"Aug 31, 2022","Jun 30, 2025"
Benaissa Benamar,€600k,Centre-Back,"Apr 8, 1997 (25)",Morocco,"1,91m",right,"Jul 1, 2022",-
Damon Mirani,€550k,Centre-Back,"May 13, 1996 (26)",Netherlands,"1,83m",right,"Jul 1, 2021","Jun 30, 2023"
Josh Flint,€300k,Centre-Back,"Oct 13, 2000 (22)",England,-,left,"Jul 1, 2021","Jun 30, 2024"
Billy van Duijl,€125k,Centre-Back,"Oct 4, 2005 (17)",Netherlands,-,,"Jul 1, 2022","Jun 30, 2025"
Derry John Murkin,€700k,Left-Back,"Jul 27, 1999 (23)",England,"1,83m",left,"Jul 1, 2019","Jun 30, 2024"
Dean James,€250k,Left-Back,"Apr 30, 2000 (22)",Netherlands,-,left,"Jul 1, 2020","Jun 30, 2023"
Brian Plat,€400k,Right-Back,"Apr 5, 2000 (22)",Netherlands,"1,91m",right,"Jul 1, 2019","Jun 30, 2024"
Oskar Buur,€250k,Right-Back,"Mar 31, 1998 (25)",Denmark,"1,80m",right,"Feb 8, 2022","Jun 30, 2024"
Deron Payne,-,Right-Back,"Sep 25, 2002 (20)",Netherlands,"1,82m",right,"Jan 1, 2023","Jun 30, 2025"
Carel Eiting,€2.50m,Central Midfield,"Feb 11, 1998 (25)",Netherlands,"1,79m",left,"Aug 4, 2022","Jun 30, 2024"
Florent Sanchez,€600k,Central Midfield,"Apr 2, 2003 (20)",France,"1,78m",right,"Jan 2, 2023","Jun 30, 2023"
Calvin Twigt,€450k,Central Midfield,"Jan 30, 2003 (20)",Netherlands,"1,83m",right,"Jan 1, 2021","Jun 30, 2024"
Walid Ould-Chikh,€300k,Central Midfield,"Nov 6, 1999 (23)",Netherlands,-,right,"Oct 1, 2021","Jun 30, 2025"
Imran Nazih,€75k,Central Midfield,"Jan 25, 2006 (17)",Morocco,-,,"Jul 1, 2022","Jun 30, 2025"
Joey Antonioli,€75k,Central Midfield,"Dec 15, 2003 (19)",Netherlands,-,,"Jan 1, 2023","Jun 30, 2024"
Francesco Antonucci,€1.00m,Attacking Midfield,"Jun 20, 1999 (23)",Belgium,"1,71m",right,"Jan 6, 2022","Jun 30, 2023"
Gaetano Oristanio,€700k,Attacking Midfield,"Sep 28, 2002 (20)",Italy,"1,74m",left,"Aug 10, 2021",-
Flip Klomp,€75k,Attacking Midfield,"Oct 18, 2001 (21)",Netherlands,"1,85m",left,"Jan 24, 2023","Jun 30, 2025"
Diego Gustavo,€25k,Attacking Midfield,"Jun 19, 2004 (18)",Brazil,-,right,"Aug 16, 2022","Jun 30, 2025"
Ibrahim El Kadiri,€350k,Left Winger,"Jan 23, 2002 (21)",Morocco,"1,70m",right,"Jul 1, 2020","Jun 30, 2024"
Achraf Douiri,€200k,Left Winger,"Nov 27, 1999 (23)",Netherlands,"1,80m",right,"Jul 1, 2021","Jun 30, 2024"
Darius Johnson,€75k,Left Winger,"Mar 15, 2000 (23)",England,"1,82m",right,"Jul 25, 2019",-
Daryl van Mieghem,€500k,Right Winger,"Dec 5, 1989 (33)",Netherlands,"1,70m",left,"Jul 1, 2021","Jun 30, 2023"
Bilal Ould-Chikh,€350k,Right Winger,"Jul 28, 1997 (25)",Morocco,"1,70m",left,"Dec 31, 2021","Jun 30, 2025"
Jordi Blom,€25k,Right Winger,"Jun 5, 2002 (20)",Netherlands,-,left,"Jan 1, 2023",-
Robert Mühren,€600k,Centre-Forward,"May 18, 1989 (33)",Netherlands,"1,87m",right,"Jul 1, 2021","Jun 30, 2024"
Henk Veerman,€500k,Centre-Forward,"Feb 26, 1991 (32)",Netherlands,"2,01m",right,"Jul 31, 2022","Jun 30, 2025"
Lequincio Zeefuik,€200k,Centre-Forward,"Nov 26, 2004 (18)",Netherlands,-,,"Jul 1, 2021","Jun 30, 2024"
Nick Olij,€2.00m,Goalkeeper,"Aug 1, 1995 (27)",Netherlands,"1,88m",right,"Jul 1, 2022","Jun 30, 2026"
Delano van Crooij,€225k,Goalkeeper,"Jun 5, 1991 (31)",Netherlands,"1,85m",both,"Sep 22, 2022","Jun 30, 2023"
Tim Coremans,€200k,Goalkeeper,"Apr 10, 1991 (31)",Netherlands,"1,86m",right,"Jul 1, 2018","Jun 30, 2023"
Youri Schoonderwaldt,€100k,Goalkeeper,"Mar 13, 2000 (23)",Netherlands,"1,95m",left,"Jul 1, 2022","Jun 30, 2024"
Bart Vriends,€400k,Centre-Back,"May 9, 1991 (31)",Netherlands,"1,88m",right,"Jul 1, 2016","Jun 30, 2024"
Mike Eerdhuijzen,€400k,Centre-Back,"Jul 13, 2000 (22)",Netherlands,"1,94m",left,"Jul 1, 2022","Jun 30, 2025"
Rick Meissen,€300k,Centre-Back,"Feb 24, 2002 (21)",Netherlands,"1,90m",right,"Jan 30, 2023","Jun 30, 2026"
Adil Auassar,€200k,Centre-Back,"Oct 6, 1986 (36)",Netherlands,"1,86m",left,"Jul 6, 2018","Jun 30, 2023"
Mica Pinto,€800k,Left-Back,"Jun 4, 1993 (29)",Luxembourg,"1,76m",left,"Jan 1, 2020","Jun 30, 2023"
Aaron Meijers,€250k,Left-Back,"Oct 28, 1987 (35)",Netherlands,"1,76m",left,"Aug 30, 2021","Jun 30, 2023"
Shurandy Sambo,€700k,Right-Back,"Aug 19, 2001 (21)",Netherlands,"1,74m",right,"Aug 4, 2022","Jun 30, 2023"
Dirk Abels,€450k,Right-Back,"Jun 13, 1997 (25)",Netherlands,"1,81m",right,"Jan 16, 2019","Jun 30, 2023"
Jeremy van Mullem,€200k,Defensive Midfield,"Mar 18, 1999 (24)",Netherlands,"1,84m",right,"Jan 1, 2022","Jun 30, 2024"
Joshua Kitolano,€3.00m,Central Midfield,"Aug 3, 2001 (21)",Norway,"1,70m",right,"Aug 1, 2022","Jun 30, 2026"
Arno Verschueren,€2.00m,Central Midfield,"Apr 8, 1997 (25)",Belgium,"1,85m",right,"Jul 1, 2022","Jun 30, 2025"
Jonathan de Guzmán,€300k,Central Midfield,"Sep 13, 1987 (35)",Netherlands,"1,73m",right,"Jul 22, 2022","Jun 30, 2023"
Younes Namli,€1.20m,Attacking Midfield,"Jun 20, 1994 (28)",Denmark,"1,80m",left,"Jul 11, 2022","Jun 30, 2023"
Pedro Alemañ,€100k,Attacking Midfield,"Mar 21, 2002 (21)",Spain,"1,82m",left,"Jan 1, 2023","Jun 30, 2025"
Koki Saito,€1.30m,Left Winger,"Aug 10, 2001 (21)",Japan,"1,70m",right,"Jul 1, 2022","Jun 30, 2023"
Vito van Crooij,€1.50m,Right Winger,"Jan 29, 1996 (27)",Netherlands,"1,79m",right,"Jul 1, 2021","Jun 30, 2024"
Patrick Brouwer,€50k,Right Winger,"Mar 19, 2001 (22)",Netherlands,-,,"Aug 30, 2022","Jun 30, 2024"
Tobias Lauritsen,€2.00m,Centre-Forward,"Aug 30, 1997 (25)",Norway,"1,96m",right,"Aug 1, 2022","Jun 30, 2025"
Elias Hoff Melkersen,€400k,Centre-Forward,"Dec 31, 2002 (20)",Norway,"1,78m",right,"Jan 16, 2023","Jun 30, 2023"
Mohammed Tahiri,€50k,Centre-Forward,"Jan 22, 2001 (22)",Morocco,"1,77m",right,-,"Jun 30, 2023"
Jasper Cillessen,€3.00m,Goalkeeper,"Apr 22, 1989 (33)",Netherlands,"1,87m",right,"Aug 8, 2022","Jun 30, 2025"
Mattijs Branderhorst,€600k,Goalkeeper,"Dec 31, 1993 (29)",Netherlands,"1,92m",right,"Jul 1, 2019","Jun 30, 2023"
Robin Roefs,€75k,Goalkeeper,"Jan 17, 2003 (20)",Netherlands,"1,93m",left,"Jul 1, 2021","Jun 30, 2024"
Rijk Janse,€25k,Goalkeeper,"Apr 16, 2002 (20)",Netherlands,"1,89m",right,-,-
Philippe Sandler,€2.00m,Centre-Back,"Feb 10, 1997 (26)",Netherlands,"1,90m",right,"Aug 11, 2022","Jun 30, 2025"
Iván Márquez,€850k,Centre-Back,"Jun 9, 1994 (28)",Spain,"1,91m",right,"Jul 19, 2021","Jun 30, 2023"
Joris Kramer,€650k,Centre-Back,"Aug 2, 1996 (26)",Netherlands,"1,87m",left,"Jul 1, 2022","Jun 30, 2025"
Guus Gertsen,€25k,Centre-Back,"Apr 16, 2003 (19)",Netherlands,"1,89m",right,"Jul 1, 2022","Jun 30, 2023"
Souffian El Karouani,€1.40m,Left-Back,"Oct 19, 2000 (22)",Morocco,"1,78m",left,"Jul 1, 2019","Jun 30, 2023"
Calvin Verdonk,€800k,Left-Back,"Apr 26, 1997 (25)",Netherlands,"1,74m",left,"Jul 6, 2022","Jun 30, 2024"
Bart van Rooij,€900k,Right-Back,"May 26, 2001 (21)",Netherlands,"1,74m",right,"Jul 1, 2019","Jun 30, 2025"
Ilias Bronkhorst,€250k,Right-Back,"May 10, 1997 (25)",Netherlands,"1,85m",right,"Jul 1, 2021","Jun 30, 2023"
Terry Lartey Sanniez,€150k,Right-Back,"Aug 10, 1996 (26)",Netherlands,"1,74m",right,"Aug 31, 2022","Jun 30, 2023"
Lasse Schöne,€300k,Defensive Midfield,"May 27, 1986 (36)",Denmark,"1,78m",right,"Jul 1, 2021","Jun 30, 2024"
Dirk Proper,€2.00m,Central Midfield,"Feb 24, 2002 (21)",Netherlands,"1,67m",right,"Jan 6, 2020","Jun 30, 2025"
Andri Fannar Baldursson,€500k,Central Midfield,"Jan 10, 2002 (21)",Iceland,"1,87m",right,"Jul 6, 2022","Jun 30, 2023"
Mathias De Wolf,€125k,Central Midfield,"Feb 21, 2002 (21)",Belgium,"1,87m",left,"Jul 9, 2020","Jun 30, 2023"
Oussama Tannane,€950k,Attacking Midfield,"Apr 23, 1994 (28)",Morocco,"1,78m",left,"Jul 1, 2022","Jun 30, 2024"
Jordy Bruijn,€700k,Attacking Midfield,"Jul 23, 1996 (26)",Netherlands,"1,71m",right,"Jul 1, 2020","Jun 30, 2023"
Nils Rossen,€50k,Attacking Midfield,"Aug 1, 2005 (17)",Netherlands,-,left,"Jul 1, 2022","Jun 30, 2024"
Kas de Wit,€25k,Attacking Midfield,"Jul 26, 2003 (19)",Netherlands,-,right,"Jul 1, 2022","Jun 30, 2023"
Magnus Mattsson,€650k,Left Winger,"Feb 25, 1999 (24)",Denmark,"1,74m",both,"Jul 1, 2021","Jun 30, 2024"
Ibrahim Cissoko,€500k,Left Winger,"Mar 26, 2003 (20)",Netherlands,-,right,"Jul 1, 2022","Jun 30, 2024"
Elayis Tavsan,€1.60m,Right Winger,"Apr 30, 2001 (21)",Netherlands,"1,83m",left,"Jul 1, 2020","Jun 30, 2024"
Anthony Musaba,€900k,Right Winger,"Dec 6, 2000 (22)",Netherlands,"1,82m",both,"Jan 4, 2023","Jun 30, 2023"
Landry Dimata,€2.00m,Centre-Forward,"Sep 1, 1997 (25)",Belgium,"1,85m",right,"Aug 30, 2022","Jun 30, 2023"
Pedro Marques,€650k,Centre-Forward,"Apr 25, 1998 (24)",Portugal,"1,81m",right,"Jul 1, 2022","Jun 30, 2025"
Mickey van der Hart,€600k,Goalkeeper,"Jun 13, 1994 (28)",Netherlands,"1,88m",left,"Aug 24, 2022","Jun 30, 2023"
