Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Thomas Cannon,ie IRL,FW,20-043,2,25.0,13.0,1.3,0.3,0,,0,2,13.0,0,0.0,0.0,1.0,-1.0,-3.6,-3.07,0.8,0.4,0.4,1.28,1.89,Matches
Michael Keane,eng ENG,DF,30-029,1,23.0,23.0,1.2,0.3,0,,0,1,23.0,14,1.0,0.0,1.0,-1.0,-3.91,-3.38,0.2,1.1,-0.8,-3.27,-2.72,Matches
Ellis Simms,eng ENG,FW,22-035,2,17.0,9.0,0.9,0.2,0,,0,2,9.0,2,0.0,1.0,0.0,1.0,5.29,5.92,0.9,0.1,0.8,4.48,5.12,Matches
Kyle Alex John,eng ENG,DF,21-361,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Allan,br BRA,"DF,MF",32-032,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Jean-Philippe Gbamin,ci CIV,"DF,MF",27-137,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
André Gomes,pt POR,MF,29-194,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Eldin Jakupović,ch SUI,GK,38-130,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Stanley Mills,eng ENG,MF,19-107,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Lewis Warrington,eng ENG,MF,20-122,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Reece Welch,eng ENG,DF,19-143,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,26.9,21,1890.0,90.0,100.0,21.0,231,84.0,163,68,21.0,121,0.86,16.0,28.0,-12.0,-0.57,,22.1,34.4,-12.3,-0.59,,
Opponent Total,,,27.2,21,1890.0,90.0,100.0,21.0,231,84.0,163,68,21.0,103,1.86,28.0,16.0,12.0,0.57,,34.4,22.1,12.3,0.59,,
