name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Carlos Baleba,€800k,Central Midfield,"Jan 3, 2004 (19)",Cameroon,"1,79m",left,"Jul 1, 2022","Jun 30, 2026"
Angel Gomes,€13.00m,Attacking Midfield,"Aug 31, 2000 (22)",England,"1,68m",right,"Aug 9, 2020","Jun 30, 2025"
Rémy Cabella,€5.00m,Attacking Midfield,"Mar 8, 1990 (33)",France,"1,72m",right,"Jul 10, 2022","Jun 30, 2023"
Jonathan Bamba,€20.00m,Left Winger,"Mar 26, 1996 (26)",Cote d'Ivoire,"1,75m",right,"Jul 2, 2018","Jun 30, 2023"
Alan Virginius,€4.00m,Left Winger,"Jan 3, 2003 (20)",France,"1,75m",right,"Aug 17, 2022","Jun 30, 2027"
Timothy Weah,€12.00m,Right Winger,"Feb 22, 2000 (23)",United States,"1,83m",right,"Jul 1, 2019","Jun 30, 2024"
Adam Ounas,€8.00m,Right Winger,"Nov 11, 1996 (26)",Algeria,"1,72m",left,"Sep 1, 2022","Jun 30, 2024"
Edon Zhegrova,€5.00m,Right Winger,"Mar 31, 1999 (23)",Kosovo,"1,81m",left,"Jan 14, 2022","Jun 30, 2026"
Jonathan David,€45.00m,Centre-Forward,"Jan 14, 2000 (23)",Canada,"1,75m",both,"Aug 11, 2020","Jun 30, 2025"
Mohamed Bayo,€10.00m,Centre-Forward,"Jun 4, 1998 (24)",Guinea,"1,88m",right,"Jul 13, 2022","Jun 30, 2027"
Marco Bizot,€4.00m,Goalkeeper,"Mar 10, 1991 (32)",Netherlands,"1,93m",right,"Aug 4, 2021","Jun 30, 2024"
Joaquín Blázquez,€500k,Goalkeeper,"Jan 28, 2001 (22)",Argentina,"1,93m",right,"Jul 27, 2022","Jun 30, 2023"
Grégoire Coudert,€200k,Goalkeeper,"Apr 3, 1999 (23)",France,"1,88m",left,"Jul 5, 2021","Jun 30, 2023"
Brendan Chardonnet,€5.00m,Centre-Back,"Dec 22, 1994 (28)",France,"1,84m",right,"Jul 1, 2013","Jun 30, 2025"
Jean-Kévin Duverne,€4.00m,Centre-Back,"Jul 12, 1997 (25)",France,"1,84m",right,"Sep 2, 2019","Jun 30, 2023"
Lilian Brassier,€4.00m,Centre-Back,"Nov 2, 1999 (23)",France,"1,86m",left,"Jul 1, 2021","Jun 30, 2024"
Achraf Dari,€2.50m,Centre-Back,"May 6, 1999 (23)",Morocco,"1,88m",right,"Jul 29, 2022","Jun 30, 2026"
Christophe Hérelle,€2.50m,Centre-Back,"Aug 22, 1992 (30)",Martinique,"1,88m",right,"Aug 11, 2020","Jun 30, 2024"
Josué Escartin,€250k,Centre-Back,"Mar 21, 2003 (19)",France,"1,93m",right,"Aug 9, 2022","Jun 30, 2025"
Bradley Locko,€3.50m,Left-Back,"May 6, 2002 (20)",France,"1,80m",left,"Jan 31, 2023","Jun 30, 2023"
Kenny Lala,€1.50m,Right-Back,"Oct 3, 1991 (31)",France,"1,78m",right,"Jan 1, 2023",-
Noah Fadiga,€1.00m,Right-Back,"Dec 3, 1999 (23)",Senegal,"1,87m",both,"Jul 1, 2022","Jun 30, 2026"
Pierre Lees-Melou,€4.50m,Defensive Midfield,"May 25, 1993 (29)",France,"1,85m",right,"Jul 23, 2022","Jun 30, 2025"
Haris Belkebla,€4.00m,Central Midfield,"Jan 28, 1994 (29)",Algeria,"1,77m",right,"Jul 1, 2018","Jun 30, 2023"
Mahdi Camara,€4.00m,Central Midfield,"Jun 30, 1998 (24)",France,"1,78m",right,"Aug 26, 2022","Jun 30, 2023"
Hugo Magnetti,€1.80m,Central Midfield,"May 30, 1998 (24)",France,"1,80m",right,"Jul 1, 2018","Jun 30, 2026"
Félix Lemaréchal,€500k,Central Midfield,"Aug 7, 2003 (19)",France,"1,80m",right,"Jan 31, 2023","Jun 30, 2023"
Romain Del Castillo,€3.00m,Right Midfield,"Mar 29, 1996 (26)",France,"1,72m",left,"Aug 31, 2021","Jun 30, 2024"
Mathias Pereira Lage,€2.50m,Right Midfield,"Nov 30, 1996 (26)",France,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Franck Honorat,€9.00m,Right Winger,"Aug 11, 1996 (26)",France,"1,80m",right,"Jul 1, 2020","Jun 30, 2025"
Alberth Elis,€4.00m,Right Winger,"Feb 12, 1996 (27)",Honduras,"1,85m",right,"Jan 30, 2023","Jun 30, 2023"
Karamoko Dembélé,€500k,Right Winger,"Feb 22, 2003 (20)",England,"1,67m",left,"Jul 5, 2022","Jun 30, 2026"
Taïryk Arconte,€400k,Right Winger,"Nov 12, 2003 (19)",France,"1,81m",,"Sep 1, 2022","Jun 30, 2026"
Steve Mounié,€6.00m,Centre-Forward,"Sep 29, 1994 (28)",Benin,"1,90m",right,"Sep 9, 2020","Jun 30, 2024"
Jérémy Le Douaron,€3.00m,Centre-Forward,"Apr 21, 1998 (24)",France,"1,89m",left,"Jul 1, 2020","Jun 30, 2026"
Loïc Rémy,€150k,Centre-Forward,"Jan 2, 1987 (36)",France,"1,85m",right,"Feb 1, 2023","Jun 30, 2023"
Matz Sels,€8.00m,Goalkeeper,"Feb 26, 1992 (31)",Belgium,"1,88m",right,"Jul 26, 2018","Jun 30, 2026"
Eiji Kawashima,€200k,Goalkeeper,"Mar 20, 1983 (39)",Japan,"1,85m",right,"Aug 29, 2018","Jun 30, 2023"
Alexandre Pierre,€100k,Goalkeeper,"Feb 25, 2001 (22)",Haiti,"1,90m",right,"Jul 1, 2021","Jun 30, 2024"
Robin Risser,€100k,Goalkeeper,"Dec 2, 2004 (18)",France,"1,93m",right,-,-
Alexander Djiku,€8.00m,Centre-Back,"Aug 9, 1994 (28)",Ghana,"1,82m",right,"Jul 5, 2019","Jun 30, 2023"
Gerzino Nyamsi,€6.50m,Centre-Back,"Jan 22, 1997 (26)",France,"1,95m",right,"Aug 30, 2021","Jun 30, 2025"
Lucas Perrin,€3.50m,Centre-Back,"Nov 19, 1998 (24)",France,"1,88m",right,"Jul 1, 2022","Jun 30, 2025"
Ismaël Doukouré,€2.00m,Centre-Back,"Jul 24, 2003 (19)",France,"1,83m",right,"Jan 29, 2022","Jun 30, 2026"
Maxime Le Marchand,€1.20m,Centre-Back,"Oct 11, 1989 (33)",France,"1,85m",left,"Aug 26, 2021","Jun 30, 2023"
Franci Bouebari,-,Centre-Back,"Sep 12, 2003 (19)",France,"1,92m",right,-,-
Eduard Sobol,€3.00m,Left-Back,"Apr 20, 1995 (27)",Ukraine,"1,86m",left,"Jan 23, 2023","Jun 30, 2026"
Thomas Delaine,€1.50m,Left-Back,"Mar 24, 1992 (30)",France,"1,80m",left,"Jul 1, 2022","Jun 30, 2025"
Colin Dagba,€5.00m,Right-Back,"Sep 9, 1998 (24)",France,"1,70m",right,"Jul 6, 2022","Jun 30, 2023"
Frédéric Guilbert,€5.00m,Right-Back,"Dec 24, 1994 (28)",France,"1,78m",right,"Jan 17, 2023","Jun 30, 2026"
Ibrahima Sissoko,€8.00m,Defensive Midfield,"Oct 27, 1997 (25)",France,"1,93m",right,"Jul 1, 2018","Jun 30, 2024"
Jean-Eudes Aholou,€3.00m,Defensive Midfield,"Mar 20, 1994 (28)",Cote d'Ivoire,"1,86m",left,"Jul 1, 2022","Jun 30, 2024"
Habib Diarra,€3.00m,Defensive Midfield,"Jan 3, 2004 (19)",France,"1,79m",right,"Jul 1, 2022","Jun 30, 2027"
Jean-Ricner Bellegarde,€8.00m,Central Midfield,"Jun 27, 1998 (24)",France,"1,72m",right,"Jul 2, 2019","Jun 30, 2024"
Morgan Sanson,€6.00m,Central Midfield,"Aug 18, 1994 (28)",France,"1,80m",right,"Jan 23, 2023","Jun 30, 2023"
Sanjin Prcic,€3.50m,Central Midfield,"Nov 20, 1993 (29)",Bosnia-Herzegovina,"1,81m",right,"Sep 2, 2019","Jun 30, 2025"
Dimitri Liénard,€600k,Left Midfield,"Feb 13, 1988 (35)",France,"1,81m",left,"Jul 1, 2013","Jun 30, 2023"
Yuito Suzuki,€700k,Attacking Midfield,"Oct 25, 2001 (21)",Japan,"1,75m",right,"Jan 27, 2023","Jun 30, 2023"
Nordine Kandil,€400k,Attacking Midfield,"Oct 31, 2001 (21)",France,"1,65m",left,"Jul 1, 2021","Jun 30, 2025"
Habib Diallo,€12.00m,Centre-Forward,"Jun 18, 1995 (27)",Senegal,"1,86m",right,"Oct 5, 2020","Jun 30, 2025"
Kévin Gameiro,€1.50m,Centre-Forward,"May 9, 1987 (35)",France,"1,72m",right,"Jul 18, 2021","Jun 30, 2023"
Lebo Mothiba,€1.50m,Centre-Forward,"Jan 28, 1996 (27)",South Africa,"1,82m",right,"Aug 30, 2018","Jun 30, 2024"
Pau López,€12.00m,Goalkeeper,"Dec 13, 1994 (28)",Spain,"1,89m",left,"Jul 1, 2022","Jun 30, 2026"
Rubén Blanco,€3.00m,Goalkeeper,"Jul 25, 1995 (27)",Spain,"1,88m",right,"Jul 20, 2022","Jun 30, 2023"
Simon Ngapandouetnbu,€400k,Goalkeeper,"Apr 12, 2003 (19)",Cameroon,"1,86m",right,"Oct 11, 2019","Jun 30, 2024"
Chancel Mbemba,€17.00m,Centre-Back,"Aug 8, 1994 (28)",DR Congo,"1,82m",right,"Jul 15, 2022","Jun 30, 2025"
Samuel Gigot,€10.00m,Centre-Back,"Oct 12, 1993 (29)",France,"1,87m",right,"Jan 29, 2022","Jun 30, 2025"
Leonardo Balerdi,€10.00m,Centre-Back,"Jan 26, 1999 (24)",Argentina,"1,87m",right,"Jul 3, 2021","Jun 30, 2026"
Eric Bailly,€8.00m,Centre-Back,"Apr 12, 1994 (28)",Cote d'Ivoire,"1,87m",right,"Aug 24, 2022","Jun 30, 2023"
Nuno Tavares,€18.00m,Left-Back,"Jan 26, 2000 (23)",Portugal,"1,83m",left,"Jul 30, 2022","Jun 30, 2023"
Sead Kolasinac,€3.00m,Left-Back,"Jun 20, 1993 (29)",Bosnia-Herzegovina,"1,83m",left,"Jan 18, 2022","Jun 30, 2023"
Jonathan Clauss,€15.00m,Right-Back,"Sep 25, 1992 (30)",France,"1,78m",right,"Jul 20, 2022","Jun 30, 2025"
Issa Kaboré,€5.00m,Right-Back,"May 12, 2001 (21)",Burkina Faso,"1,80m",right,"Aug 17, 2022","Jun 30, 2023"
Jordan Veretout,€14.00m,Defensive Midfield,"Mar 1, 1993 (30)",France,"1,77m",right,"Aug 5, 2022","Jun 30, 2025"
Bartug Elmaz,€300k,Defensive Midfield,"Feb 19, 2003 (20)",Turkey,"1,79m",right,-,"Jun 30, 2026"
Mattéo Guendouzi,€25.00m,Central Midfield,"Apr 14, 1999 (23)",France,"1,85m",right,"Jul 1, 2022","Jun 30, 2025"
Azzedine Ounahi,€15.00m,Central Midfield,"Apr 19, 2000 (22)",Morocco,"1,82m",right,"Jan 29, 2023","Jun 30, 2027"
Valentin Rongier,€14.00m,Central Midfield,"Dec 7, 1994 (28)",France,"1,72m",right,"Sep 3, 2019","Jun 30, 2026"
Ruslan Malinovskyi,€18.00m,Attacking Midfield,"May 4, 1993 (29)",Ukraine,"1,81m",left,"Jan 9, 2023","Jun 30, 2023"
Amine Harit,€14.00m,Attacking Midfield,"Jun 18, 1997 (25)",Morocco,"1,80m",right,"Sep 1, 2022","Jun 30, 2023"
Dimitri Payet,€3.00m,Attacking Midfield,"Mar 29, 1987 (35)",France,"1,75m",right,"Jan 30, 2017","Jun 30, 2024"
Cengiz Ünder,€17.00m,Right Winger,"Jul 14, 1997 (25)",Turkey,"1,73m",left,"Jul 1, 2022","Jun 30, 2025"
Vitinha,€15.00m,Centre-Forward,"Mar 15, 2000 (23)",Portugal,"1,78m",right,"Jan 31, 2023","Jun 30, 2027"
Alexis Sánchez,€4.50m,Centre-Forward,"Dec 19, 1988 (34)",Chile,"1,69m",right,"Aug 10, 2022","Jun 30, 2023"
Alban Lafont,€16.00m,Goalkeeper,"Jan 23, 1999 (24)",France,"1,96m",right,"Jul 1, 2021","Jun 30, 2024"
Rémy Descamps,€800k,Goalkeeper,"Jun 25, 1996 (26)",France,"1,96m",left,"Jul 1, 2021","Jun 30, 2024"
Denis Petric,€200k,Goalkeeper,"May 24, 1988 (34)",Slovenia,"1,87m",right,"Aug 1, 2019","Jun 30, 2023"
João Victor,€8.00m,Centre-Back,"Jul 17, 1998 (24)",Brazil,"1,87m",right,"Jan 25, 2023","Jun 30, 2023"
Andrei Girotto,€4.00m,Centre-Back,"Feb 17, 1992 (31)",Brazil,"1,86m",right,"Aug 12, 2017","Jun 30, 2024"
Jean-Charles Castelletto,€4.00m,Centre-Back,"Jan 26, 1995 (28)",Cameroon,"1,86m",both,"Jul 1, 2020","Jun 30, 2026"
Nicolas Pallois,€1.00m,Centre-Back,"Sep 19, 1987 (35)",France,"1,89m",left,"Jul 27, 2017","Jun 30, 2024"
Robin Voisine,€150k,Centre-Back,"Apr 7, 2002 (20)",France,"1,88m",left,"Jul 1, 2022","Jun 30, 2025"
Quentin Merlin,€7.00m,Left-Back,"May 16, 2002 (20)",France,"1,73m",left,"Jul 1, 2021","Jun 30, 2026"
Jaouen Hadjam,€800k,Left-Back,"Mar 26, 2003 (19)",Algeria,"1,84m",left,"Jan 17, 2023","Jun 30, 2027"
Charles Traoré,€800k,Left-Back,"Jan 1, 1992 (31)",Mali,"1,80m",left,"Aug 31, 2018","Jun 30, 2023"
Fabien Centonze,€5.00m,Right-Back,"Jan 16, 1996 (27)",France,"1,82m",right,"Sep 22, 2022","Jun 30, 2027"
Sébastien Corchia,€1.20m,Right-Back,"Nov 1, 1990 (32)",France,"1,76m",right,"Oct 7, 2020","Jun 30, 2023"
Lohann Doucet,€800k,Defensive Midfield,"Sep 14, 2002 (20)",France,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Pedro Chirivella,€6.00m,Central Midfield,"May 23, 1997 (25)",Spain,"1,78m",right,"Jul 1, 2020","Jun 30, 2026"
Samuel Moutoussamy,€3.50m,Central Midfield,"Aug 12, 1996 (26)",DR Congo,"1,76m",left,"Sep 6, 2017","Jun 30, 2024"
Moussa Sissoko,€3.50m,Central Midfield,"Aug 16, 1989 (33)",France,"1,87m",right,"Jul 1, 2022","Jun 30, 2024"
Ludovic Blas,€15.00m,Attacking Midfield,"Dec 31, 1997 (25)",France,"1,80m",left,"Sep 2, 2019","Jun 30, 2024"
Florent Mollet,€2.50m,Attacking Midfield,"Nov 19, 1991 (31)",France,"1,75m",right,"Jan 17, 2023","Jun 30, 2025"
Gor Manvelyan,€400k,Attacking Midfield,"Apr 9, 2002 (20)",France,"1,80m",both,"Jul 1, 2021","Jun 30, 2024"
Samuel Yépié Yépié,€150k,Attacking Midfield,"Oct 2, 2002 (20)",France,"1,71m",left,"Jul 1, 2022",-
Moses Simon,€9.00m,Left Winger,"Jul 12, 1995 (27)",Nigeria,"1,68m",right,"Jul 1, 2020","Jun 30, 2024"
Marcus Coco,€1.50m,Right Winger,"Jun 24, 1996 (26)",France,"1,84m",right,"Jul 16, 2019","Jun 30, 2023"
Andy Delort,€12.00m,Centre-Forward,"Oct 9, 1991 (31)",Algeria,"1,81m",right,"Jan 30, 2023","Jun 30, 2023"
Mostafa Mohamed,€6.00m,Centre-Forward,"Nov 28, 1997 (25)",Egypt,"1,85m",right,"Jul 21, 2022","Jun 30, 2023"
