Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Dejan Kulusevski,se SWE,"MF,FW",22-290,14,1054.0,75.0,53.2,11.7,12,85.0,3,2,18.0,0,1.93,24.0,18.0,6.0,0.51,0.12,16.2,15.5,0.7,0.06,-0.36,Matches
Clément Lenglet,fr FRA,DF,27-237,13,935.0,72.0,47.2,10.4,11,83.0,5,2,9.0,8,1.46,22.0,21.0,1.0,0.1,-0.68,17.3,14.8,2.5,0.24,0.01,Matches
Ryan Sessegnon,eng ENG,DF,22-267,17,813.0,48.0,41.1,9.0,9,75.0,3,8,17.0,4,1.65,17.0,15.0,2.0,0.22,-0.4,13.5,10.8,2.7,0.3,0.11,Matches
Yves Bissouma,ml MLI,MF,26-163,20,814.0,41.0,41.1,9.0,8,80.0,3,12,14.0,1,1.65,15.0,15.0,0.0,0.0,-0.77,11.2,11.1,0.1,0.01,-0.38,Matches
Matt Doherty,ie IRL,"DF,MF",31-024,12,667.0,56.0,33.7,7.4,7,82.0,2,5,18.0,9,1.33,12.0,9.0,3.0,0.4,-0.08,9.0,8.6,0.4,0.06,-0.26,Matches
Davinson Sánchez,co COL,DF,26-242,12,558.0,47.0,28.2,6.2,6,77.0,3,6,16.0,10,1.92,12.0,8.0,4.0,0.65,0.27,9.7,7.2,2.5,0.4,0.23,Matches
Richarlison,br BRA,"MF,FW",25-275,13,487.0,37.0,24.6,5.4,5,67.0,1,8,19.0,1,2.0,11.0,10.0,1.0,0.18,-0.36,9.9,8.6,1.3,0.23,0.0,Matches
Oliver Skipp,eng ENG,MF,22-146,8,198.0,25.0,10.0,2.2,3,58.0,0,5,5.0,9,1.5,3.0,3.0,0.0,0.0,-0.51,2.4,2.4,0.0,0.01,-0.25,Matches
Bryan,es ESP,"MF,FW",21-363,4,148.0,37.0,7.5,1.6,2,69.0,0,2,5.0,12,1.5,5.0,1.0,4.0,2.43,2.14,2.3,1.0,1.3,0.79,0.6,Matches
Pape Matar Sarr,sn SEN,MF,20-148,3,111.0,37.0,5.6,1.2,1,75.0,0,2,18.0,7,1.0,2.0,2.0,0.0,0.0,-0.48,2.0,2.2,-0.2,-0.18,-0.44,Matches
Fraser Forster,eng ENG,GK,34-329,1,90.0,90.0,4.5,1.0,1,90.0,1,0,,21,1.0,2.0,2.0,0.0,0.0,-0.48,1.1,2.0,-0.9,-0.9,-1.18,Matches
Japhet Tanganga,eng ENG,DF,23-315,1,66.0,66.0,3.3,0.7,1,66.0,0,0,,15,1.0,1.0,2.0,-1.0,-1.36,-1.88,0.3,1.8,-1.5,-2.02,-2.33,Matches
Lucas Moura,br BRA,"MF,DF",30-180,8,98.0,12.0,4.9,1.1,0,,0,8,12.0,1,1.63,4.0,1.0,3.0,2.76,2.42,2.5,0.5,2.0,1.88,1.73,Matches
Djed Spence,eng ENG,"FW,DF",22-184,4,7.0,2.0,0.4,0.1,0,,0,4,2.0,8,1.5,0.0,0.0,0.0,0.0,-0.46,0.3,0.5,-0.2,-2.4,-2.64,Matches
Harvey White,eng ENG,MF,21-143,1,5.0,5.0,0.3,0.1,0,,0,1,5.0,2,3.0,0.0,0.0,0.0,0.0,-0.46,0.0,0.0,0.0,0.52,0.29,Matches
Arnaut Danjuma,nl NED,"FW,MF",26-009,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Pedro Porro,es ESP,"DF,MF",23-149,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.4,22,1980.0,90.0,100.0,22.0,242,85.0,157,83,15.0,115,1.77,41.0,31.0,10.0,0.45,,32.0,26.8,5.1,0.23,,
Opponent Total,,,27.2,22,1980.0,90.0,100.0,22.0,242,85.0,157,83,15.0,115,1.09,31.0,41.0,-10.0,-0.45,,26.8,32.0,-5.1,-0.23,,
