Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-01-14,12:30,Premier League,Matchweek 20,Sat,Home,W,2.0,1.0,Manchester City,1.7,0.6,30.0,75546.0,Bruno Fernandes,4-2-3-1,Stuart Attwell,Match Report,
2023-01-18,20:00,Premier League,Matchweek 7,Wed,Away,D,1.0,1.0,Crystal Palace,2.1,0.5,60.0,23343.0,Bruno Fernandes,4-2-3-1,Robert Jones,Match Report,
2023-01-22,16:30,Premier League,Matchweek 21,Sun,Away,L,2.0,3.0,Arsenal,0.4,3.1,43.0,60325.0,Bruno Fernandes,4-2-3-1,Anthony Taylor,Match Report,
2023-01-25,20:00,EFL Cup,Semi-finals,Wed,Away,W,3.0,0.0,Nott'ham Forest,,,67.0,29325.0,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,Leg 1 of 2
2023-01-28,20:00,FA Cup,Fourth round proper,Sat,Home,W,3.0,1.0,Reading,,,78.0,73460.0,Harry Maguire,4-2-3-1,Darren England,Match Report,
2023-02-01,20:00,EFL Cup,Semi-finals,Wed,Home,W,2.0,0.0,Nott'ham Forest,,,74.0,72315.0,Bruno Fernandes,4-3-3,Peter Bankes,Match Report,Leg 2 of 2; Manchester Utd won
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Home,W,2.0,1.0,Crystal Palace,2.0,1.3,52.0,73420.0,Bruno Fernandes,4-2-3-1,Andre Marriner,Match Report,
2023-02-08,20:00,Premier League,Matchweek 8,Wed,Home,D,2.0,2.0,Leeds United,2.1,0.6,66.0,73456.0,Bruno Fernandes,4-2-3-1,Simon Hooper,Match Report,
2023-02-12,14:00,Premier League,Matchweek 23,Sun,Away,,,,Leeds United,,,,,,,,Head-to-Head,
2023-02-16,18:45,Europa Lg,Knockout round play-offs,Thu,Away,,,,es Barcelona,,,,,,,,Head-to-Head,Leg 1 of 2
2023-02-19,14:00,Premier League,Matchweek 24,Sun,Home,,,,Leicester City,,,,,,,,Head-to-Head,
2023-02-23,20:00,Europa Lg,Knockout round play-offs,Thu,Home,,,,es Barcelona,,,,,,,,Head-to-Head,Leg 2 of 2
2023-02-26,,EFL Cup,Final,Sun,Home,,,,Newcastle Utd,,,,,,,,Head-to-Head,
2023-02-26,13:30,Premier League,Matchweek 25,Sun,Home,,,,Brentford,,,,,,,,,Match Postponed
2023-03-01,19:45,FA Cup,Fifth round proper,Wed,Home,,,,West Ham,,,,,,,,Head-to-Head,
2023-03-05,16:30,Premier League,Matchweek 26,Sun,Away,,,,Liverpool,,,,,,,,Head-to-Head,
2023-03-11,15:00,Premier League,Matchweek 27,Sat,Home,,,,Southampton,,,,,,,,Head-to-Head,
2023-03-19,14:00,Premier League,Matchweek 28,Sun,Away,,,,Brighton,,,,,,,,Head-to-Head,
2023-04-01,15:00,Premier League,Matchweek 29,Sat,Away,,,,Newcastle Utd,,,,,,,,Head-to-Head,
2023-04-08,15:00,Premier League,Matchweek 30,Sat,Home,,,,Everton,,,,,,,,Head-to-Head,
2023-04-15,15:00,Premier League,Matchweek 31,Sat,Away,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,,,,Chelsea,,,,,,,,Head-to-Head,
2023-04-25,19:45,Premier League,Matchweek 33,Tue,Away,,,,Tottenham,,,,,,,,Head-to-Head,
2023-04-29,15:00,Premier League,Matchweek 34,Sat,Home,,,,Aston Villa,,,,,,,,Head-to-Head,
2023-05-06,15:00,Premier League,Matchweek 35,Sat,Away,,,,West Ham,,,,,,,,Head-to-Head,
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,,,,Wolves,,,,,,,,Head-to-Head,
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,,,,Bournemouth,,,,,,,,Head-to-Head,
2023-05-28,15:00,Premier League,Matchweek 38,Sun,Home,,,,Fulham,,,,,,,,Head-to-Head,
