Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Antony,br BRA,FW,22-350,12,908.0,76.0,45.9,10.1,11,78.0,3,1,45.0,0,2.0,19.0,12.0,7.0,0.69,0.61,14.9,11.4,3.5,0.34,-0.06,Matches
Jadon Sancho,eng ENG,FW,22-321,11,746.0,68.0,37.7,8.3,10,71.0,1,1,32.0,3,1.64,12.0,12.0,0.0,0.0,-0.58,10.9,10.9,-0.1,-0.01,-0.61,Matches
Tyrell Malacia,nl NED,DF,23-176,13,845.0,65.0,42.7,9.4,9,85.0,7,4,20.0,9,1.92,15.0,8.0,7.0,0.75,0.67,15.8,10.8,5.0,0.53,0.27,Matches
Fred,br BRA,MF,29-341,19,763.0,40.0,38.5,8.5,7,78.0,5,12,18.0,3,1.95,15.0,15.0,0.0,0.0,-0.59,14.5,11.7,2.8,0.33,-0.07,Matches
Scott McTominay,sct SCO,MF,26-063,15,753.0,50.0,38.0,8.4,7,84.0,5,8,21.0,2,1.93,13.0,14.0,-1.0,-0.12,-0.78,10.1,15.2,-5.0,-0.6,-1.58,Matches
Aaron Wan-Bissaka,eng ENG,DF,25-075,8,609.0,76.0,30.8,6.8,7,86.0,5,1,5.0,3,2.38,13.0,6.0,7.0,1.03,0.97,11.8,7.2,4.5,0.67,0.42,Matches
Anthony Martial,fr FRA,FW,27-066,9,458.0,51.0,23.1,5.1,6,59.0,0,3,34.0,0,2.33,10.0,5.0,5.0,0.98,0.81,10.1,4.1,6.0,1.17,1.04,Matches
Anthony Elanga,se SWE,FW,20-288,13,397.0,31.0,20.1,4.4,5,59.0,0,8,13.0,8,2.15,8.0,1.0,7.0,1.59,1.53,8.2,4.2,4.0,0.91,0.67,Matches
Cristiano Ronaldo,pt POR,FW,38-004,10,525.0,53.0,26.5,5.8,4,85.0,3,6,31.0,2,1.9,6.0,8.0,-2.0,-0.34,-0.96,6.0,5.8,0.2,0.03,-0.47,Matches
Victor Lindelöf,se SWE,DF,28-207,8,452.0,57.0,22.8,5.0,4,89.0,3,4,24.0,8,1.75,12.0,9.0,3.0,0.6,0.3,8.9,5.5,3.4,0.67,0.39,Matches
Harry Maguire,eng ENG,DF,29-341,9,391.0,43.0,19.7,4.3,4,90.0,4,5,6.0,8,2.33,6.0,6.0,0.0,0.0,-0.45,6.4,5.4,1.1,0.24,-0.16,Matches
Wout Weghorst,nl NED,FW,30-186,4,274.0,69.0,13.8,3.0,4,69.0,1,0,,0,1.25,4.0,5.0,-1.0,-0.33,-0.8,4.4,4.5,-0.1,-0.05,-0.49,Matches
Alejandro Garnacho,es ESP,FW,18-223,11,328.0,30.0,16.6,3.6,3,56.0,0,8,20.0,8,1.82,8.0,7.0,1.0,0.27,-0.11,8.2,3.3,4.9,1.34,1.15,Matches
Donny van de Beek,nl NED,MF,25-297,7,167.0,24.0,8.4,1.9,2,55.0,0,5,12.0,4,1.71,3.0,3.0,0.0,0.0,-0.4,2.4,1.5,0.9,0.46,0.09,Matches
Marcel Sabitzer,at AUT,MF,28-329,2,91.0,46.0,4.6,1.0,1,81.0,0,1,10.0,0,2.0,2.0,2.0,0.0,0.0,-0.38,1.7,0.8,0.9,0.9,0.55,Matches
Facundo Pellistri,uy URU,FW,21-051,1,32.0,32.0,1.6,0.4,0,,0,1,32.0,9,1.0,2.0,0.0,2.0,5.63,5.35,0.9,0.1,0.8,2.26,1.92,Matches
Rhys Bennett,eng ENG,DF,19-102,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Nathan Bishop,eng ENG,GK,23-117,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Martin Dúbravka,sk SVK,GK,34-025,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
James Garner,eng ENG,MF,21-333,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Tom Heaton,eng ENG,GK,36-300,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
Zidane Iqbal,iq IRQ,MF,19-288,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Matej Kovar,cz CZE,GK,22-268,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kobbie Mainoo,eng ENG,MF,17-296,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Shola Shoretire,eng ENG,MF,19-007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Brandon Williams,eng ENG,DF,22-159,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,27.6,22,1980.0,90.0,100.0,22.0,242,83.0,161,81,20.0,116,1.95,36.0,28.0,8.0,0.36,,33.7,25.4,8.3,0.38,,
Opponent Total,,,27.2,22,1980.0,90.0,100.0,22.0,242,83.0,161,81,20.0,111,0.86,28.0,36.0,-8.0,-0.36,,25.4,33.7,-8.3,-0.38,,
