Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Scott McTominay,sct SCO,MF,26-063,15,7,753.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.2,1.0,5.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,Matches
Aaron Wan-Bissaka,eng ENG,DF,25-075,8,7,609.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,16.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.08,0.01,0.08,Matches
Anthony Martial,fr FRA,FW,27-066,9,6,458.0,5.1,3.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,3.2,2.4,0.9,3.3,7.0,15.0,28.0,0.59,0.39,0.98,0.39,0.79,0.63,0.18,0.81,0.47,0.66,Matches
Anthony Elanga,se SWE,FW,20-288,13,5,397.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,1.4,10.0,6.0,25.0,0.0,0.23,0.23,0.0,0.23,0.13,0.18,0.31,0.13,0.31,Matches
Cristiano Ronaldo,pt POR,FW,38-004,10,4,525.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,0.4,2.3,9.0,12.0,33.0,0.17,0.0,0.17,0.17,0.17,0.32,0.07,0.4,0.32,0.4,Matches
Victor Lindelöf,se SWE,DF,28-207,8,4,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Harry Maguire,eng ENG,DF,29-341,9,4,391.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Wout Weghorst,nl NED,FW,30-186,4,4,274.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.21,0.07,0.21,Matches
Alejandro Garnacho,es ESP,FW,18-223,11,3,328.0,3.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,1.0,2.5,21.0,5.0,55.0,0.27,0.55,0.82,0.27,0.82,0.41,0.27,0.68,0.41,0.68,Matches
Donny van de Beek,nl NED,MF,25-297,7,2,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11,Matches
Marcel Sabitzer,at AUT,MF,28-329,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.49,0.2,0.49,Matches
Facundo Pellistri,uy URU,FW,21-051,1,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rhys Bennett,eng ENG,DF,19-102,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nathan Bishop,eng ENG,GK,23-117,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Martin Dúbravka,sk SVK,GK,34-025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
James Garner,eng ENG,MF,21-333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tom Heaton,eng ENG,GK,36-300,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Zidane Iqbal,iq IRQ,MF,19-288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matej Kovar,cz CZE,GK,22-268,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kobbie Mainoo,eng ENG,MF,17-296,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Shola Shoretire,eng ENG,MF,19-007,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Brandon Williams,eng ENG,DF,22-159,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.6,22,242,1980.0,22.0,34.0,26.0,60.0,32.0,2.0,2.0,52.0,1.0,33.7,32.1,25.4,57.5,393.0,860.0,854.0,1.55,1.18,2.73,1.45,2.64,1.53,1.15,2.68,1.46,2.61,
Opponent Total,,,27.2,22,242,1980.0,22.0,27.0,17.0,44.0,26.0,1.0,1.0,29.0,0.0,25.4,24.6,18.4,43.0,392.0,773.0,766.0,1.23,0.77,2.0,1.18,1.95,1.16,0.84,1.99,1.12,1.96,
