Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-11-06,14:00,Premier League,Matchweek 15,Sun,Home,L,1,4,Newcastle Utd,1.7,0.9,55.0,30402.0,James Ward-Prowse,4-2-3-1,Stuart Attwell,Match Report,
2022-11-09,22:45,EFL Cup,Third round,Wed,Home,D,1 (6),1 (5),Sheffield Weds,,,62.0,20457.0,James Ward-Prowse,4-2-3-1,John Brooks,Match Report,Southampton won on penalty kicks following extra time
2022-11-12,15:00,Premier League,Matchweek 16,Sat,Away,L,1,3,Liverpool,1.1,1.9,40.0,53331.0,James Ward-Prowse,5-3-2,Simon Hooper,Match Report,
2022-12-20,19:45,EFL Cup,Fourth round,Tue,Home,W,2,1,Lincoln City,,,69.0,17385.0,James Ward-Prowse,3-5-2,Jarred Gillett,Match Report,
2022-12-26,15:00,Premier League,Matchweek 17,Mon,Home,L,1,3,Brighton,1.9,0.6,34.0,31010.0,James Ward-Prowse,4-2-3-1,Robert Jones,Match Report,
2022-12-31,15:00,Premier League,Matchweek 18,Sat,Away,L,1,2,Fulham,0.8,1.5,38.0,24344.0,James Ward-Prowse,3-4-3,Graham Scott,Match Report,
2023-01-04,19:30,Premier League,Matchweek 19,Wed,Home,L,0,1,Nott'ham Forest,0.5,1.4,63.0,30150.0,James Ward-Prowse,3-1-4-2,Thomas Bramall,Match Report,
2023-01-07,12:30,FA Cup,Third round proper,Sat,Away,W,2,1,Crystal Palace,,,45.0,20320.0,James Ward-Prowse,4-2-3-1,Darren Bond,Match Report,
2023-01-11,20:00,EFL Cup,Quarter-finals,Wed,Home,W,2,0,Manchester City,,,28.0,22996.0,James Ward-Prowse,4-2-3-1,Peter Bankes,Match Report,
2023-01-14,15:00,Premier League,Matchweek 20,Sat,Away,W,2,1,Everton,1.2,1.4,48.0,39305.0,James Ward-Prowse,4-2-3-1,John Brooks,Match Report,
2023-01-21,15:00,Premier League,Matchweek 21,Sat,Home,L,0,1,Aston Villa,0.6,1.4,37.0,30158.0,James Ward-Prowse,4-2-3-1,Michael Salisbury,Match Report,
2023-01-24,20:00,EFL Cup,Semi-finals,Tue,Home,L,0,1,Newcastle Utd,,,44.0,30090.0,James Ward-Prowse,4-2-3-1,Stuart Attwell,Match Report,Leg 1 of 2
2023-01-28,15:00,FA Cup,Fourth round proper,Sat,Home,W,2,1,Blackpool,,,66.0,20665.0,Willy Caballero,4-2-3-1,Craig Pawson,Match Report,
2023-01-31,20:00,EFL Cup,Semi-finals,Tue,Away,L,1,2,Newcastle Utd,,,55.0,51975.0,James Ward-Prowse,5-3-2,Paul Tierney,Match Report,Leg 2 of 2; Newcastle Utd won
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Away,L,0,3,Brentford,0.7,2.2,51.0,17051.0,James Ward-Prowse,4-2-3-1,Darren Bond,Match Report,
2023-02-11,15:00,Premier League,Matchweek 23,Sat,Home,L,1,2,Wolves,1.1,0.8,41.0,29751.0,James Ward-Prowse,5-3-2,Jarred Gillett,Match Report,
2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,W,1,0,Chelsea,0.6,1.6,38.0,40152.0,James Ward-Prowse,4-4-2,David Coote,Match Report,
2023-02-25,15:00,Premier League,Matchweek 25,Sat,Away,L,0,1,Leeds United,0.4,0.9,39.0,36641.0,James Ward-Prowse,4-4-2,Peter Bankes,Match Report,
2023-03-01,19:15,FA Cup,Fifth round proper,Wed,Home,L,1,2,Grimsby Town,,,75.0,27584.0,Kyle Walker-Peters,4-4-2,Thomas Bramall,Match Report,
2023-03-04,17:30,Premier League,Matchweek 26,Sat,Home,W,1,0,Leicester City,1.4,1.9,35.0,30139.0,James Ward-Prowse,4-2-3-1,Robert Jones,Match Report,
2023-03-12,14:00,Premier League,Matchweek 27,Sun,Away,D,0,0,Manchester Utd,1.0,0.8,53.0,73439.0,James Ward-Prowse,4-2-3-1,Anthony Taylor,Match Report,
2023-03-15,19:30,Premier League,Matchweek 7,Wed,Home,L,0,2,Brentford,0.5,1.9,66.0,30438.0,James Ward-Prowse,4-2-3-1,Michael Salisbury,Match Report,
2023-03-18,15:00,Premier League,Matchweek 28,Sat,Home,,,,Tottenham,,,,,,,,Head-to-Head,
2023-04-02,14:00,Premier League,Matchweek 29,Sun,Away,,,,West Ham,,,,,,,,Head-to-Head,
2023-04-09,14:00,Premier League,Matchweek 30,Sun,Home,,,,Manchester City,,,,,,,,Head-to-Head,
2023-04-15,15:00,Premier League,Matchweek 31,Sat,Home,,,,Crystal Palace,,,,,,,,Head-to-Head,
2023-04-21,20:00,Premier League,Matchweek 32,Fri,Away,,,,Arsenal,,,,,,,,Head-to-Head,
2023-04-25,19:45,Premier League,Matchweek 33,Tue,Home,,,,Bournemouth,,,,,,,,Head-to-Head,
2023-04-30,14:00,Premier League,Matchweek 34,Sun,Away,,,,Newcastle Utd,,,,,,,,Head-to-Head,
2023-05-06,15:00,Premier League,Matchweek 35,Sat,Away,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,,,,Fulham,,,,,,,,Head-to-Head,
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,,,,Brighton,,,,,,,,Head-to-Head,
2023-05-28,15:00,Premier League,Matchweek 38,Sun,Home,,,,Liverpool,,,,,,,,Head-to-Head,
