Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Chris Richards,us USA,DF,22-318,7,3,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.07,0.25,0.18,0.25,Matches
Will Hughes,eng ENG,MF,27-298,15,2,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.2,4.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Luka Milivojević,rs SRB,MF,31-308,11,2,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.13,0.07,0.13,Matches
James Tomkins,eng ENG,DF,33-317,3,1,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Jaïro Riedewald,nl NED,"DF,FW",26-153,4,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",19-158,3,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Albert Sambi Lokonga,be BEL,MF,23-110,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Naouirou Ahamada,fr FRA,MF,20-317,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches
David Ozoh,,FW,17-254,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kofi Balmer,nir NIR,DF,22-143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jack Butland,eng ENG,GK,29-336,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Owen Goodman,eng ENG,GK,19-074,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
John-Kymani Gordon,eng ENG,FW,19-361,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sam Johnstone,eng ENG,GK,29-321,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Killian Phillips,ie IRL,DF,20-316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luke Plange,eng ENG,FW,20-097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kaden Rodney,eng ENG,MF,18-125,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jack Wells-Morrison,eng ENG,MF,18-356,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joseph Whitworth,eng ENG,GK,18-345,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.7,21,231,1890.0,21.0,18.0,16.0,34.0,18.0,0.0,2.0,48.0,2.0,19.6,18.0,15.1,33.1,294.0,665.0,664.0,0.86,0.76,1.62,0.86,1.62,0.93,0.72,1.65,0.85,1.58,
Opponent Total,,,27.2,21,231,1890.0,21.0,28.0,19.0,47.0,27.0,1.0,1.0,40.0,2.0,29.6,28.9,21.5,50.3,359.0,948.0,941.0,1.33,0.9,2.24,1.29,2.19,1.41,1.02,2.43,1.37,2.4,
