name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Bouna Sarr,€2.50m,Right-Back,"Jan 31, 1992 (31)",Senegal,"1,77m",right,"Oct 5, 2020","Jun 30, 2024"
Joshua Kimmich,€80.00m,Defensive Midfield,"Feb 8, 1995 (28)",Germany,"1,77m",right,"Jul 2, 2015","Jun 30, 2025"
Leon Goretzka,€65.00m,Central Midfield,"Feb 6, 1995 (28)",Germany,"1,89m",right,"Jul 1, 2018","Jun 30, 2026"
Ryan Gravenberch,€30.00m,Central Midfield,"May 16, 2002 (20)",Netherlands,"1,90m",right,"Jul 1, 2022","Jun 30, 2027"
Jamal Musiala,€100.00m,Attacking Midfield,"Feb 26, 2003 (20)",Germany,"1,84m",right,"Jul 1, 2020","Jun 30, 2026"
Paul Wanner,€3.00m,Attacking Midfield,"Dec 23, 2005 (17)",Germany,"1,85m",left,"Jan 31, 2022","Jun 30, 2027"
Arijon Ibrahimovic,€1.00m,Attacking Midfield,"Dec 11, 2005 (17)",Germany,"1,76m",right,"Jan 17, 2023","Jun 30, 2025"
Kingsley Coman,€60.00m,Left Winger,"Jun 13, 1996 (26)",France,"1,81m",right,"Jul 1, 2017","Jun 30, 2027"
Sadio Mané,€60.00m,Left Winger,"Apr 10, 1992 (30)",Senegal,"1,74m",right,"Jul 1, 2022","Jun 30, 2025"
Leroy Sané,€70.00m,Right Winger,"Jan 11, 1996 (27)",Germany,"1,83m",left,"Jul 15, 2020","Jun 30, 2025"
Serge Gnabry,€65.00m,Right Winger,"Jul 14, 1995 (27)",Germany,"1,76m",right,"Jul 1, 2017","Jun 30, 2026"
Thomas Müller,€18.00m,Second Striker,"Sep 13, 1989 (33)",Germany,"1,85m",right,"Jul 1, 2009","Jun 30, 2024"
Mathys Tel,€20.00m,Centre-Forward,"Apr 27, 2005 (17)",France,"1,83m",right,"Jul 26, 2022","Jun 30, 2025"
Eric Maxim Choupo-Moting,€6.00m,Centre-Forward,"Mar 23, 1989 (33)",Cameroon,"1,91m",right,"Oct 5, 2020","Jun 30, 2024"
Jiri Pavlenka,€3.00m,Goalkeeper,"Apr 14, 1992 (30)",Czech Republic,"1,96m",right,"Jul 1, 2017","Jun 30, 2025"
Michael Zetterer,€500k,Goalkeeper,"Jul 12, 1995 (27)",Germany,"1,87m",both,"Jan 27, 2015",-
Mio Backhaus,€300k,Goalkeeper,"Apr 16, 2004 (18)",Germany,"1,94m",right,-,-
Dudu,€200k,Goalkeeper,"Feb 10, 1999 (24)",Germany,"1,96m",right,"Jul 1, 2020","Jun 30, 2024"
Louis Lord,€150k,Goalkeeper,"Oct 22, 2003 (19)",Germany,"1,90m",,-,-
Marco Friedl,€6.50m,Centre-Back,"Mar 16, 1998 (25)",Austria,"1,87m",left,"Jul 1, 2019","Jun 30, 2026"
Amos Pieper,€6.00m,Centre-Back,"Jan 17, 1998 (25)",Germany,"1,92m",right,"Jul 1, 2022","Jun 30, 2026"
Milos Veljkovic,€5.00m,Centre-Back,"Sep 26, 1995 (27)",Serbia,"1,88m",right,"Feb 1, 2016","Jun 30, 2025"
Niklas Stark,€4.50m,Centre-Back,"Apr 14, 1995 (27)",Germany,"1,90m",right,"Jul 1, 2022","Jun 30, 2026"
Fabio Chiarodia,€1.00m,Centre-Back,"Jun 5, 2005 (17)",Italy,"1,86m",left,"Oct 7, 2021","Jun 30, 2024"
Lee Buchanan,€3.50m,Left-Back,"Mar 7, 2001 (22)",England,"1,79m",left,"Jul 4, 2022","Jun 30, 2026"
Anthony Jung,€1.00m,Left-Back,"Nov 3, 1991 (31)",Germany,"1,86m",left,"Jul 1, 2021","Jun 30, 2024"
Mitchell Weiser,€3.50m,Right-Back,"Apr 21, 1994 (28)",Germany,"1,77m",right,"Jul 15, 2022","Jun 30, 2024"
Felix Agu,€1.50m,Right-Back,"Sep 27, 1999 (23)",Germany,"1,80m",right,"Jul 1, 2020","Jun 30, 2024"
Ilia Gruev,€3.00m,Defensive Midfield,"May 6, 2000 (22)",Bulgaria,"1,85m",left,"Jul 1, 2019","Jun 30, 2025"
Christian Groß,€500k,Defensive Midfield,"Feb 8, 1989 (34)",Germany,"1,82m",both,"Aug 1, 2020","Jun 30, 2024"
Dikeni Salifou,€200k,Defensive Midfield,"Jun 8, 2003 (19)",Togo,"1,91m",right,"Jul 1, 2022",-
Jens Stage,€3.50m,Central Midfield,"Nov 8, 1996 (26)",Denmark,"1,87m",right,"Jul 1, 2022","Jun 30, 2026"
Jean Manuel Mbom,€1.50m,Central Midfield,"Feb 24, 2000 (23)",Germany,"1,85m",right,"Jul 1, 2018",-
Romano Schmid,€4.50m,Attacking Midfield,"Jan 27, 2000 (23)",Austria,"1,68m",right,"Jan 3, 2019","Jun 30, 2025"
Leonardo Bittencourt,€3.50m,Attacking Midfield,"Dec 19, 1993 (29)",Germany,"1,71m",right,"Jul 15, 2020",-
Niklas Schmidt,€1.50m,Attacking Midfield,"Mar 1, 1998 (25)",Germany,"1,84m",both,"Jul 1, 2017","Jun 30, 2025"
Maximilian Philipp,€2.50m,Second Striker,"Mar 1, 1994 (29)",Germany,"1,83m",right,"Jan 30, 2023","Jun 30, 2023"
Niclas Füllkrug,€10.00m,Centre-Forward,"Feb 9, 1993 (30)",Germany,"1,89m",right,"Jul 1, 2019","Jun 30, 2025"
Marvin Ducksch,€5.00m,Centre-Forward,"Mar 7, 1994 (29)",Germany,"1,88m",right,"Aug 25, 2021","Jun 30, 2024"
Eren Dinkci,€700k,Centre-Forward,"Dec 13, 2001 (21)",Germany,"1,88m",right,"Jan 1, 2021","Jun 30, 2025"
Kevin Trapp,€8.50m,Goalkeeper,"Jul 8, 1990 (32)",Germany,"1,89m",right,"Aug 7, 2019","Jun 30, 2026"
Diant Ramaj,€750k,Goalkeeper,"Sep 19, 2001 (21)",Germany,"1,89m",both,"Jul 1, 2021","Jun 30, 2027"
Jens Grahl,€200k,Goalkeeper,"Sep 22, 1988 (34)",Germany,"1,92m",right,"Jul 19, 2021","Jun 30, 2026"
Simon Simoni,€200k,Goalkeeper,"Jul 14, 2004 (18)",Albania,"1,92m",right,"Jan 1, 2023","Jun 30, 2027"
Evan Ndicka,€32.00m,Centre-Back,"Aug 20, 1999 (23)",France,"1,92m",left,"Jul 5, 2018","Jun 30, 2023"
Tuta,€15.00m,Centre-Back,"Jul 4, 1999 (23)",Brazil,"1,85m",right,"Jan 31, 2019","Jun 30, 2026"
Almamy Touré,€3.50m,Centre-Back,"Apr 28, 1996 (26)",Mali,"1,83m",right,"Jan 31, 2019","Jun 30, 2023"
Hrvoje Smolcic,€3.00m,Centre-Back,"Aug 17, 2000 (22)",Croatia,"1,85m",left,"Jul 1, 2022","Jun 30, 2027"
Makoto Hasebe,€800k,Centre-Back,"Jan 18, 1984 (39)",Japan,"1,80m",right,"Jul 1, 2014","Jun 30, 2023"
Philipp Max,€6.00m,Left-Back,"Sep 30, 1993 (29)",Germany,"1,77m",left,"Jan 31, 2023","Jun 30, 2023"
Christopher Lenz,€5.00m,Left-Back,"Sep 22, 1994 (28)",Germany,"1,80m",left,"Jul 1, 2021","Jun 30, 2024"
Jan Schröder,€200k,Left-Back,"Apr 15, 2003 (19)",Germany,"1,82m",left,"Aug 20, 2021","Jun 30, 2023"
Aurélio Buta,€3.00m,Right-Back,"Feb 10, 1997 (26)",Portugal,"1,72m",right,"Jul 1, 2022","Jun 30, 2026"
Timothy Chandler,€1.20m,Right-Back,"Mar 29, 1990 (32)",United States,"1,86m",right,"Jul 1, 2014","Jun 30, 2025"
Kristijan Jakic,€9.00m,Defensive Midfield,"May 14, 1997 (25)",Croatia,"1,81m",right,"Jul 1, 2022","Jun 30, 2026"
Djibril Sow,€22.00m,Central Midfield,"Feb 6, 1997 (26)",Switzerland,"1,84m",right,"Jul 1, 2019","Jun 30, 2024"
Sebastian Rode,€2.50m,Central Midfield,"Oct 11, 1990 (32)",Germany,"1,79m",right,"Jul 27, 2019","Jun 30, 2024"
Marcel Wenig,€800k,Central Midfield,"May 4, 2004 (18)",Germany,"1,88m",right,"Jul 1, 2022","Jun 30, 2025"
Mehdi Loune,€300k,Central Midfield,"May 14, 2004 (18)",Germany,"1,72m",,"Jul 1, 2022","Jun 30, 2025"
Junior Dina Ebimbe,€7.50m,Right Midfield,"Nov 21, 2000 (22)",France,"1,84m",right,"Aug 21, 2022","Jun 30, 2023"
Daichi Kamada,€30.00m,Attacking Midfield,"Aug 5, 1996 (26)",Japan,"1,84m",right,"Jul 1, 2017","Jun 30, 2023"
Jesper Lindström,€28.00m,Attacking Midfield,"Feb 29, 2000 (23)",Denmark,"1,82m",right,"Jul 11, 2021","Jun 30, 2026"
Mario Götze,€13.00m,Attacking Midfield,"Jun 3, 1992 (30)",Germany,"1,76m",right,"Jul 1, 2022","Jun 30, 2025"
Paxten Aaronson,€4.50m,Attacking Midfield,"Aug 26, 2003 (19)",United States,"1,75m",right,"Jan 1, 2023","Jun 30, 2027"
Faride Alidou,€2.50m,Left Winger,"Jul 18, 2001 (21)",Germany,"1,86m",right,"Jul 1, 2022","Jun 30, 2026"
Ansgar Knauff,€10.00m,Right Winger,"Jan 10, 2002 (21)",Germany,"1,80m",right,"Jan 20, 2022","Jun 30, 2023"
Randal Kolo Muani,€37.00m,Centre-Forward,"Dec 5, 1998 (24)",France,"1,87m",right,"Jul 1, 2022","Jun 30, 2027"
Rafael Borré,€16.00m,Centre-Forward,"Sep 15, 1995 (27)",Colombia,"1,74m",right,"Jul 5, 2021","Jun 30, 2025"
Lucas Alario,€5.50m,Centre-Forward,"Oct 8, 1992 (30)",Argentina,"1,85m",right,"Jul 1, 2022","Jun 30, 2025"
Nacho Ferri,-,Centre-Forward,"Oct 5, 2004 (18)",Spain,"1,92m",right,"Oct 5, 2022","Jun 30, 2025"
Mark Flekken,€7.00m,Goalkeeper,"Jun 13, 1993 (29)",Netherlands,"1,95m",both,"Jul 1, 2018",-
Noah Atubolu,€2.00m,Goalkeeper,"May 25, 2002 (20)",Germany,"1,90m",right,"Jul 1, 2021",-
Benjamin Uphoff,€500k,Goalkeeper,"Aug 8, 1993 (29)",Germany,"1,92m",right,"Aug 5, 2020","Jun 30, 2023"
Philipp Lienhart,€20.00m,Centre-Back,"Jul 11, 1996 (26)",Austria,"1,89m",right,"Jul 1, 2018","Jun 30, 2024"
Matthias Ginter,€20.00m,Centre-Back,"Jan 19, 1994 (29)",Germany,"1,91m",right,"Jul 1, 2022","Jun 30, 2027"
Manuel Gulde,€1.70m,Centre-Back,"Feb 12, 1991 (32)",Germany,"1,84m",right,"Jul 1, 2016",-
Kenneth Schmidt,€750k,Centre-Back,"Jun 3, 2002 (20)",Germany,"1,87m",left,"Jan 1, 2023",-
Christian Günter,€10.00m,Left-Back,"Feb 28, 1993 (30)",Germany,"1,84m",left,"Jul 1, 2012",-
Kimberly Ezekwem,€275k,Left-Back,"Jun 19, 2001 (21)",Germany,"1,87m",left,"Jul 1, 2021",-
Kiliann Sildillia,€9.00m,Right-Back,"May 16, 2002 (20)",France,"1,86m",right,"Jul 1, 2021","Jun 30, 2024"
Lukas Kübler,€2.30m,Right-Back,"Aug 30, 1992 (30)",Germany,"1,82m",right,"Jul 1, 2015",-
Jonathan Schmid,€1.20m,Right-Back,"Jun 22, 1990 (32)",France,"1,79m",right,"Jul 1, 2019",-
Yannik Keitel,€4.00m,Defensive Midfield,"Feb 15, 2000 (23)",Germany,"1,86m",both,"Apr 16, 2020","Jun 30, 2024"
Nicolas Höfler,€2.50m,Defensive Midfield,"Mar 9, 1990 (33)",Germany,"1,81m",right,"Jul 1, 2010",-
Maximilian Eggestein,€8.00m,Central Midfield,"Dec 8, 1996 (26)",Germany,"1,81m",right,"Aug 18, 2021","Jun 30, 2025"
Merlin Röhl,€2.00m,Central Midfield,"Jul 5, 2002 (20)",Germany,"1,92m",both,"Aug 17, 2022",-
Robert Wagner,€900k,Central Midfield,"Jul 14, 2003 (19)",Germany,"1,81m",right,"Jul 1, 2022","Jun 30, 2024"
Daniel-Kofi Kyereh,€8.00m,Attacking Midfield,"Mar 8, 1996 (27)",Ghana,"1,79m",right,"Jul 1, 2022",-
Vincenzo Grifo,€12.00m,Left Winger,"Apr 7, 1993 (29)",Italy,"1,80m",right,"Sep 2, 2019",-
Noah Weißhaupt,€2.50m,Left Winger,"Sep 20, 2001 (21)",Germany,"1,81m",right,"Jul 1, 2021",-
Ritsu Doan,€15.00m,Right Winger,"Jun 16, 1998 (24)",Japan,"1,72m",left,"Jul 5, 2022",-
Roland Sallai,€12.00m,Right Winger,"May 22, 1997 (25)",Hungary,"1,83m",both,"Aug 31, 2018","Jun 30, 2025"
Woo-yeong Jeong,€5.50m,Second Striker,"Sep 20, 1999 (23)","Korea, South","1,79m",right,"Jul 1, 2019","Jun 30, 2025"
Michael Gregoritsch,€8.00m,Centre-Forward,"Apr 18, 1994 (28)",Austria,"1,93m",left,"Jul 8, 2022",-
Lucas Höler,€5.00m,Centre-Forward,"Jul 10, 1994 (28)",Germany,"1,84m",right,"Jan 1, 2018",-
Nils Petersen,€1.50m,Centre-Forward,"Dec 6, 1988 (34)",Germany,"1,88m",right,"Jul 1, 2015",-
Rafal Gikiewicz,€1.20m,Goalkeeper,"Oct 26, 1987 (35)",Poland,"1,90m",right,"Jul 1, 2020","Jun 30, 2023"
Tomas Koubek,€1.00m,Goalkeeper,"Aug 26, 1992 (30)",Czech Republic,"1,97m",right,"Aug 6, 2019","Jun 30, 2024"
Daniel Klein,€300k,Goalkeeper,"Mar 13, 2001 (22)",Germany,"1,93m",right,"Jul 2, 2021","Jun 30, 2025"
Benjamin Leneis,€150k,Goalkeeper,"Mar 8, 1999 (24)",Germany,"1,95m",both,"Oct 24, 2018","Jun 30, 2023"
Reece Oxford,€12.00m,Centre-Back,"Dec 16, 1998 (24)",England,"1,90m",right,"Aug 2, 2019","Jun 30, 2025"
Felix Uduokhai,€10.00m,Centre-Back,"Sep 9, 1997 (25)",Germany,"1,92m",left,"Jul 1, 2020","Jun 30, 2024"
Jeffrey Gouweleeuw,€3.50m,Centre-Back,"Jul 10, 1991 (31)",Netherlands,"1,87m",right,"Jan 9, 2016","Jun 30, 2024"
Maximilian Bauer,€3.50m,Centre-Back,"Feb 9, 2000 (23)",Germany,"1,89m",right,"Jul 1, 2022","Jun 30, 2027"
Iago,€5.50m,Left-Back,"Mar 23, 1997 (25)",Brazil,"1,81m",left,"Jul 1, 2019","Jun 30, 2024"
Mads Pedersen,€2.50m,Left-Back,"Sep 1, 1996 (26)",Denmark,"1,74m",left,"Jul 1, 2019","Jun 30, 2024"
David Colina,€1.50m,Left-Back,"Jul 19, 2000 (22)",Croatia,"1,74m",left,"Jan 14, 2023","Jun 30, 2027"
Aaron Zehnter,€300k,Left-Back,"Oct 31, 2004 (18)",Germany,"1,80m",left,"Jul 1, 2022","Jun 30, 2024"
Robert Gumny,€3.50m,Right-Back,"Jun 4, 1998 (24)",Poland,"1,82m",right,"Sep 2, 2020","Jun 30, 2025"
Niklas Dorsch,€10.00m,Defensive Midfield,"Jan 15, 1998 (25)",Germany,"1,78m",right,"Jul 8, 2021","Jun 30, 2026"
Renato Veiga,€1.00m,Defensive Midfield,"Jul 29, 2003 (19)",Portugal,"1,90m",left,"Jan 31, 2023","Dec 31, 2023"
Tobias Strobl,€700k,Defensive Midfield,"May 12, 1990 (32)",Germany,"1,88m",right,"Jul 1, 2020","Jun 30, 2023"
Julian Baumgartlinger,€600k,Defensive Midfield,"Jan 2, 1988 (35)",Austria,"1,84m",right,"Aug 16, 2022","Jun 30, 2023"
Arne Maier,€5.50m,Central Midfield,"Jan 8, 1999 (24)",Germany,"1,86m",right,"Jul 1, 2022","Jun 30, 2025"
Elvis Rexhbecaj,€3.50m,Central Midfield,"Nov 1, 1997 (25)",Germany,"1,82m",left,"Jul 27, 2022","Jun 30, 2026"
Arne Engels,€500k,Central Midfield,"Sep 8, 2003 (19)",Belgium,"1,85m",right,"Jan 3, 2023","Jun 30, 2027"
Fredrik Jensen,€2.50m,Attacking Midfield,"Sep 9, 1997 (25)",Finland,"1,83m",right,"Jul 1, 2018","Jun 30, 2025"
Mert Kömür,-,Attacking Midfield,"Jul 17, 2005 (17)",Germany,"1,83m",both,-,"Jun 30, 2027"
Rubén Vargas,€6.00m,Left Winger,"Aug 5, 1998 (24)",Switzerland,"1,79m",right,"Jul 1, 2019","Jun 30, 2025"
Nathanaël Mbuku,€5.00m,Left Winger,"Mar 16, 2002 (21)",France,"1,70m",left,"Jan 30, 2023","Jun 30, 2027"
André Hahn,€2.00m,Right Winger,"Aug 13, 1990 (32)",Germany,"1,85m",right,"Jul 1, 2018","Jun 30, 2023"
Noah Joel Sarenren Bazee,€800k,Right Winger,"Aug 21, 1996 (26)",Germany,"1,83m",right,"Jul 1, 2019","Jun 30, 2024"
Daniel Caligiuri,€600k,Right Winger,"Jan 15, 1988 (35)",Italy,"1,82m",right,"Jul 1, 2020","Jun 30, 2023"
Ermedin Demirovic,€9.00m,Centre-Forward,"Mar 25, 1998 (24)",Bosnia-Herzegovina,"1,85m",right,"Jul 8, 2022","Jun 30, 2026"
Dion Beljo,€6.50m,Centre-Forward,"Mar 1, 2002 (21)",Croatia,"1,95m",left,"Jan 13, 2023","Jun 30, 2027"
Mergim Berisha,€6.00m,Centre-Forward,"May 11, 1998 (24)",Germany,"1,88m",right,"Aug 31, 2022","Jun 30, 2023"
Kelvin Yeboah,€3.50m,Centre-Forward,"May 6, 2000 (22)",Italy,"1,85m",right,"Jan 18, 2023","Jun 30, 2023"
Irvin Cardona,€2.50m,Centre-Forward,"Aug 8, 1997 (25)",France,"1,85m",right,"Jan 18, 2023","Jun 30, 2027"
Oliver Baumann,€4.50m,Goalkeeper,"Jun 2, 1990 (32)",Germany,"1,87m",right,"Jul 1, 2014","Jun 30, 2024"
