Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Safira,br BRA,FW,28-002,7.0,231.0,9.0,24.0,101.0,108.0,28.0,231.0,8.0,3.0,37.5,5.0,62.5,108.0,415.0,170.0,6.0,4.0,2.0,12.0,6.0,190.0,25.0,Matches
Nicolas Janvier,fr FRA,MF,24-220,5.5,374.0,2.0,46.0,222.0,109.0,4.0,374.0,8.0,3.0,37.5,5.0,62.5,196.0,805.0,421.0,9.0,10.0,0.0,5.0,3.0,256.0,14.0,Matches
Mamadou Tounkara,fr FRA,"DF,MF",21-095,4.1,200.0,24.0,102.0,95.0,5.0,2.0,200.0,1.0,0.0,0.0,0.0,0.0,102.0,488.0,229.0,3.0,2.0,0.0,1.0,0.0,125.0,1.0,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22-293,2.6,152.0,5.0,36.0,82.0,36.0,5.0,152.0,9.0,4.0,44.4,5.0,55.6,85.0,398.0,183.0,6.0,4.0,0.0,6.0,10.0,91.0,2.0,Matches
Maga,pt POR,DF,23-334,2.2,,,,,,,,,,,,,,,,,,,,,,,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,25-351,2.1,93.0,6.0,43.0,50.0,0.0,0.0,93.0,0.0,0.0,,0.0,,60.0,375.0,239.0,2.0,0.0,0.0,1.0,0.0,59.0,0.0,Matches
Ryoya Ogawa,jp JPN,"DF,MF",26-115,2.3,115.0,6.0,29.0,60.0,28.0,2.0,115.0,4.0,1.0,25.0,1.0,25.0,53.0,153.0,70.0,2.0,1.0,0.0,7.0,2.0,61.0,12.0,Matches
Rafa,pt POR,GK,19-172,2.0,56.0,50.0,56.0,0.0,0.0,0.0,56.0,0.0,0.0,,0.0,,24.0,111.0,73.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,Matches
Celton Anssumane Biai,pt POR,GK,22-218,1.0,22.0,19.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,,0.0,,10.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,Matches
Bruno Gaspar,ao ANG,DF,29-332,1.0,64.0,3.0,17.0,32.0,15.0,1.0,64.0,3.0,0.0,0.0,3.0,100.0,26.0,124.0,44.0,2.0,0.0,0.0,1.0,1.0,25.0,0.0,Matches
Antonio Cortés,es ESP,FW,22-337,0.6,20.0,0.0,0.0,12.0,8.0,0.0,20.0,2.0,2.0,100.0,0.0,0.0,15.0,61.0,17.0,1.0,0.0,0.0,3.0,0.0,16.0,6.0,Matches
Índio,br BRA,"MF,FW",23-204,0.5,24.0,5.0,9.0,15.0,0.0,0.0,24.0,1.0,0.0,0.0,1.0,100.0,7.0,55.0,27.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,Matches
Alfa Semedo,gw GNB,MF,25-201,0.3,14.0,1.0,5.0,9.0,1.0,0.0,14.0,0.0,0.0,,0.0,,9.0,25.0,9.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,Matches
Gonçalo Nogueira,pt POR,MF,19-081,0.2,7.0,1.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,,0.0,,4.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Matches
Tomás Händel,pt POR,MF,22-112,0.2,17.0,0.0,3.0,12.0,2.0,0.0,17.0,0.0,0.0,,0.0,,11.0,60.0,31.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,Matches
Jason Bahamboula,fr FRA,MF,21-277,0.1,7.0,1.0,1.0,4.0,2.0,1.0,7.0,0.0,0.0,,0.0,,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,Matches
Diogo Ferreira,pt POR,MF,21-191,0.0,5.0,1.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,100.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
Squad Total,,,25.1,25.0,13975.0,1441.0,4634.0,6327.0,3164.0,401.0,13971.0,487.0,195.0,40.0,241.0,49.5,7359.0,39182.0,19558.0,398.0,278.0,90.0,397.0,204.0,8413.0,853.0,
Opponent Total,,,27.0,25.0,14424.0,1422.0,4647.0,6693.0,3236.0,437.0,14421.0,426.0,173.0,40.6,208.0,48.8,7551.0,39623.0,19570.0,364.0,265.0,83.0,388.0,214.0,8885.0,860.0,
