Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Riyad Mahrez,dz ALG,"FW,MF",31-353,16,898.0,56.0,47.5,10.0,10,78.0,4,6,21.0,5,2.38,26.0,13.0,13.0,1.3,-0.42,21.1,7.2,13.9,1.4,0.33,Matches
Kyle Walker,eng ENG,DF,32-257,11,793.0,72.0,42.0,8.8,10,79.0,6,1,8.0,4,2.09,25.0,9.0,16.0,1.82,0.5,18.3,6.9,11.3,1.28,0.1,Matches
Rúben Dias,pt POR,DF,25-271,13,874.0,67.0,46.2,9.7,9,87.0,8,4,23.0,4,2.46,28.0,8.0,20.0,2.06,1.0,19.1,6.9,12.2,1.25,0.06,Matches
Julián Álvarez,ar ARG,"FW,MF",23-009,16,578.0,36.0,30.6,6.4,5,82.0,3,11,15.0,4,2.31,16.0,7.0,9.0,1.4,-0.18,12.5,8.1,4.4,0.68,-0.78,Matches
Rico Lewis,eng ENG,"DF,MF",18-080,9,453.0,50.0,24.0,5.0,5,74.0,1,4,21.0,11,2.44,10.0,4.0,6.0,1.19,-0.44,11.2,3.1,8.2,1.62,0.53,Matches
Aymeric Laporte,es ESP,DF,28-258,5,376.0,75.0,19.9,4.2,4,90.0,4,1,16.0,7,2.4,8.0,5.0,3.0,0.72,-1.01,7.1,4.7,2.4,0.57,-0.82,Matches
Cole Palmer,eng ENG,"FW,MF",20-279,9,119.0,13.0,6.3,1.3,0,,0,9,13.0,9,3.0,2.0,2.0,0.0,0.0,-1.63,2.3,2.4,-0.1,-0.1,-1.41,Matches
Sergio Gómez,es ESP,"DF,MF",22-158,5,111.0,22.0,5.9,1.2,0,,0,5,22.0,12,3.0,4.0,3.0,1.0,0.81,-0.76,2.9,2.0,0.9,0.7,-0.55,Matches
Kalvin Phillips,eng ENG,MF,27-069,3,21.0,7.0,1.1,0.2,0,,0,3,7.0,7,3.0,0.0,0.0,0.0,0.0,-1.54,0.5,0.4,0.1,0.22,-1.01,Matches
Scott Carson,eng ENG,GK,37-159,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Liam Delap,eng ENG,FW,20-001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Claudio Gomes,fr FRA,MF,22-201,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Ben Knight,eng ENG,MF,20-240,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Luke Mbete-Tatu,eng ENG,DF,19-144,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Stefan Ortega,de GER,GK,30-095,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
Máximo Perrone,ar ARG,MF,20-033,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Josh Wilson-Esbrand,eng ENG,DF,20-045,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Squad Total,,,27.8,21,1890.0,90.0,100.0,21.0,231,84.0,161,69,19.0,120,2.14,53.0,21.0,32.0,1.52,,42.7,17.0,25.7,1.22,,
Opponent Total,,,27.4,21,1890.0,90.0,100.0,21.0,231,84.0,161,69,19.0,100,0.71,21.0,53.0,-32.0,-1.52,,17.0,42.7,-25.7,-1.22,,
