name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Jules Koundé,€60.00m,Centre-Back,"Nov 12, 1998 (24)",France,"1,80m",right,"Jul 28, 2022","Jun 30, 2027"
Andreas Christensen,€30.00m,Centre-Back,"Apr 10, 1996 (26)",Denmark,"1,87m",right,"Jul 4, 2022","Jun 30, 2026"
Eric García,€12.00m,Centre-Back,"Jan 9, 2001 (22)",Spain,"1,82m",right,"Jul 1, 2021","Jun 30, 2026"
Alejandro Balde,€30.00m,Left-Back,"Oct 18, 2003 (19)",Spain,"1,75m",left,"Jul 1, 2022","Jun 30, 2024"
Marcos Alonso,€7.00m,Left-Back,"Dec 28, 1990 (32)",Spain,"1,89m",left,"Sep 1, 2022","Jun 30, 2024"
Jordi Alba,€5.00m,Left-Back,"Mar 21, 1989 (34)",Spain,"1,70m",left,"Jul 1, 2012","Jun 30, 2024"
Sergi Roberto,€6.00m,Right-Back,"Feb 7, 1992 (31)",Spain,"1,78m",right,"Jul 1, 2013","Jun 30, 2024"
Sergio Busquets,€5.00m,Defensive Midfield,"Jul 16, 1988 (34)",Spain,"1,89m",right,"Jul 1, 2008","Jun 30, 2023"
Pedri,€100.00m,Central Midfield,"Nov 25, 2002 (20)",Spain,"1,74m",right,"Sep 2, 2019","Jun 30, 2026"
Gavi,€90.00m,Central Midfield,"Aug 5, 2004 (18)",Spain,"1,73m",right,"Jul 1, 2021","Jun 30, 2026"
Frenkie de Jong,€60.00m,Central Midfield,"May 12, 1997 (25)",Netherlands,"1,81m",right,"Jul 1, 2019","Jun 30, 2026"
Franck Kessié,€28.00m,Central Midfield,"Dec 19, 1996 (26)",Cote d'Ivoire,"1,83m",right,"Jul 4, 2022","Jun 30, 2026"
Pablo Torre,€3.00m,Attacking Midfield,"Apr 3, 2003 (20)",Spain,"1,73m",right,"Jul 1, 2022","Jun 30, 2026"
Ansu Fati,€35.00m,Left Winger,"Oct 31, 2002 (20)",Spain,"1,78m",right,"Sep 23, 2020","Jun 30, 2027"
Ferran Torres,€30.00m,Left Winger,"Feb 29, 2000 (23)",Spain,"1,84m",right,"Jan 1, 2022","Jun 30, 2027"
Ousmane Dembélé,€60.00m,Right Winger,"May 15, 1997 (25)",France,"1,78m",both,"Aug 25, 2017","Jun 30, 2024"
Raphinha,€50.00m,Right Winger,"Dec 14, 1996 (26)",Brazil,"1,76m",left,"Jul 13, 2022","Jun 30, 2027"
Robert Lewandowski,€40.00m,Centre-Forward,"Aug 21, 1988 (34)",Poland,"1,85m",right,"Jul 19, 2022","Jun 30, 2026"
Édgar Badía,€4.00m,Goalkeeper,"Feb 12, 1992 (31)",Spain,"1,80m",right,"Jan 5, 2019","Jun 30, 2025"
Axel Werner,€800k,Goalkeeper,"Feb 28, 1996 (27)",Argentina,"1,91m",right,"Sep 1, 2021","Jun 30, 2023"
Lisandro Magallán,€2.00m,Centre-Back,"Sep 27, 1993 (29)",Argentina,"1,85m",right,"Jan 5, 2023","Jun 30, 2023"
Enzo Roco,€1.80m,Centre-Back,"Aug 16, 1992 (30)",Chile,"1,92m",right,"Jul 9, 2021","Jun 30, 2023"
Diego González,€1.50m,Centre-Back,"Jan 28, 1995 (28)",Spain,"1,85m",right,"Oct 9, 2020","Jun 30, 2024"
Pedro Bigas,€1.00m,Centre-Back,"May 15, 1990 (32)",Spain,"1,81m",left,"Jul 7, 2021","Jun 30, 2023"
Gonzalo Verdú,€700k,Centre-Back,"Oct 21, 1988 (34)",Spain,"1,88m",right,"Jul 1, 2017","Jun 30, 2023"
John Donald,€400k,Centre-Back,"Sep 25, 2000 (22)",Spain,"1,82m",right,"Jul 1, 2022","Jun 30, 2025"
Lautaro Blanco,€3.50m,Left-Back,"Feb 19, 1999 (24)",Argentina,"1,76m",left,"Aug 5, 2022","Jun 30, 2027"
Nicolás Fernández Mercau,€2.00m,Left-Back,"Jan 11, 2000 (23)",Argentina,"1,72m",left,"Sep 1, 2022","Jun 30, 2027"
Carlos Clerc,€1.80m,Left-Back,"Feb 21, 1992 (31)",Spain,"1,81m",left,"Jul 21, 2022","Jun 30, 2024"
José Ángel Carmona,€4.00m,Right-Back,"Jan 29, 2002 (21)",Spain,"1,84m",right,"Jan 11, 2023","Jun 30, 2023"
Pol Lirola,€2.50m,Right-Back,"Aug 13, 1997 (25)",Spain,"1,83m",right,"Aug 12, 2022","Jun 30, 2023"
Helibelton Palacios,€1.20m,Right-Back,"Jun 11, 1993 (29)",Colombia,"1,81m",right,"Feb 4, 2021","Jun 30, 2023"
Omar Mascarell,€3.50m,Defensive Midfield,"Feb 2, 1993 (30)",Spain,"1,81m",right,"Aug 23, 2021","Jun 30, 2025"
Gerard Gumbau,€3.00m,Defensive Midfield,"Dec 18, 1994 (28)",Spain,"1,88m",left,"Aug 31, 2021","Jun 30, 2023"
Raúl Guti,€3.00m,Central Midfield,"Dec 30, 1996 (26)",Spain,"1,78m",right,"Sep 20, 2020","Jun 30, 2025"
Pape Cheikh,€1.50m,Central Midfield,"Aug 8, 1997 (25)",Senegal,"1,80m",right,"Feb 14, 2023","Jun 30, 2023"
Randy Nteka,€2.00m,Attacking Midfield,"Dec 6, 1997 (25)",France,"1,89m",left,"Jan 31, 2023","Jun 30, 2023"
Pere Milla,€3.00m,Left Winger,"Sep 23, 1992 (30)",Spain,"1,80m",left,"Jul 1, 2019","Jun 30, 2025"
Tete Morente,€2.50m,Left Winger,"Dec 4, 1996 (26)",Spain,"1,84m",right,"Sep 16, 2020","Jun 30, 2024"
Fidel,€1.00m,Left Winger,"Oct 27, 1989 (33)",Spain,"1,80m",left,"Jul 1, 2019","Jun 30, 2024"
Álex Collado,€4.00m,Right Winger,"Apr 22, 1999 (23)",Spain,"1,77m",left,"Aug 15, 2022","Jun 30, 2023"
Josan,€1.00m,Right Winger,"Dec 3, 1989 (33)",Spain,"1,76m",right,"Jan 1, 2018","Jun 30, 2023"
Lucas Boyé,€6.00m,Centre-Forward,"Feb 28, 1996 (27)",Argentina,"1,83m",right,"Jul 1, 2021","Jun 30, 2024"
Ezequiel Ponce,€3.00m,Centre-Forward,"Mar 29, 1997 (26)",Argentina,"1,81m",right,"Jul 1, 2022","Jun 30, 2026"
Unai Simón,€25.00m,Goalkeeper,"Jun 11, 1997 (25)",Spain,"1,90m",right,"Jul 1, 2018","Jun 30, 2025"
Julen Agirrezabala,€5.00m,Goalkeeper,"Dec 26, 2000 (22)",Spain,"1,87m",left,"Jul 1, 2022","Jun 30, 2025"
Ander Iru,€100k,Goalkeeper,"Aug 22, 1998 (24)",Spain,"1,88m",left,"Jul 1, 2022","Jun 30, 2023"
Iñigo Martínez,€18.00m,Centre-Back,"May 17, 1991 (31)",Spain,"1,82m",left,"Jan 30, 2018","Jun 30, 2023"
Yeray Álvarez,€15.00m,Centre-Back,"Jan 24, 1995 (28)",Spain,"1,82m",right,"Jul 1, 2016","Jun 30, 2026"
Dani Vivian,€14.00m,Centre-Back,"Jul 5, 1999 (23)",Spain,"1,84m",right,"Aug 1, 2020","Jun 30, 2026"
Aitor Paredes,€400k,Centre-Back,"Apr 29, 2000 (22)",Spain,"1,85m",right,-,"Jun 30, 2025"
Yuri Berchiche,€2.00m,Left-Back,"Feb 10, 1990 (33)",Spain,"1,81m",left,"Jul 2, 2018","Jun 30, 2024"
Mikel Balenziaga,€500k,Left-Back,"Feb 29, 1988 (35)",Spain,"1,77m",left,"Jul 1, 2013","Jun 30, 2023"
Iñigo Lekue,€3.00m,Right-Back,"May 4, 1993 (29)",Spain,"1,80m",right,"Jul 1, 2016","Jun 30, 2023"
Ander Capa,€2.00m,Right-Back,"Feb 8, 1992 (31)",Spain,"1,75m",right,"Jul 1, 2018","Jun 30, 2024"
Óscar de Marcos,€1.80m,Right-Back,"Apr 14, 1989 (33)",Spain,"1,82m",right,"Jul 1, 2010","Jun 30, 2023"
Mikel Vesga,€5.00m,Defensive Midfield,"Apr 8, 1993 (29)",Spain,"1,91m",left,"Jul 1, 2016","Jun 30, 2024"
Unai Vencedor,€14.00m,Central Midfield,"Nov 15, 2000 (22)",Spain,"1,76m",right,"Aug 1, 2020","Jun 30, 2027"
Oier Zarraga,€3.00m,Central Midfield,"Jan 4, 1999 (24)",Spain,"1,75m",right,"Feb 1, 2021","Jun 30, 2023"
Ander Herrera,€3.00m,Central Midfield,"Aug 14, 1989 (33)",Spain,"1,82m",right,"Jan 31, 2023","Jun 30, 2024"
Dani García,€2.00m,Central Midfield,"May 24, 1990 (32)",Spain,"1,79m",right,"Jul 1, 2018","Jun 30, 2024"
Oihan Sancet,€30.00m,Attacking Midfield,"Apr 25, 2000 (22)",Spain,"1,88m",right,"Aug 4, 2020","Jun 30, 2032"
Iker Muniain,€10.00m,Attacking Midfield,"Dec 19, 1992 (30)",Spain,"1,69m",right,"Jul 1, 2009","Jun 30, 2024"
Álex Berenguer,€15.00m,Left Winger,"Jul 4, 1995 (27)",Spain,"1,75m",right,"Oct 2, 2020","Jun 30, 2024"
Jon Morcillo,€3.00m,Left Winger,"Sep 15, 1998 (24)",Spain,"1,83m",left,"Aug 1, 2020","Jun 30, 2024"
Nico Williams,€25.00m,Right Winger,"Jul 12, 2002 (20)",Spain,"1,81m",right,"Jul 1, 2021","Jun 30, 2024"
Iñaki Williams,€25.00m,Centre-Forward,"Jun 15, 1994 (28)",Ghana,"1,86m",right,"Jul 1, 2015","Jun 30, 2028"
Raúl García,€2.50m,Centre-Forward,"Jul 11, 1986 (36)",Spain,"1,84m",right,"Aug 30, 2015","Jun 30, 2023"
Gorka Guruzeta,€2.00m,Centre-Forward,"Sep 12, 1996 (26)",Spain,"1,88m",right,"Jul 3, 2022","Jun 30, 2024"
Agustín Marchesín,€3.00m,Goalkeeper,"Mar 16, 1988 (35)",Argentina,"1,88m",right,"Aug 1, 2022","Jun 30, 2025"
Iván Villar,€1.20m,Goalkeeper,"Jul 9, 1997 (25)",Spain,"1,86m",right,"Jul 1, 2019","Jun 30, 2023"
Diego Alves,€300k,Goalkeeper,"Jun 24, 1985 (37)",Brazil,"1,87m",left,"Feb 8, 2023","Jun 30, 2023"
Joseph Aidoo,€8.00m,Centre-Back,"Sep 29, 1995 (27)",Ghana,"1,77m",right,"Jul 11, 2019","Jun 30, 2026"
Unai Núñez,€6.00m,Centre-Back,"Jan 30, 1997 (26)",Spain,"1,86m",right,"Jul 20, 2022","Jun 30, 2023"
Óscar Mingueza,€3.00m,Centre-Back,"May 13, 1999 (23)",Spain,"1,84m",right,"Jul 30, 2022","Jun 30, 2026"
Carlos Domínguez,€1.00m,Centre-Back,"Feb 11, 2001 (22)",Spain,"1,87m",left,-,"Jun 30, 2026"
Javi Galán,€12.00m,Left-Back,"Nov 19, 1994 (28)",Spain,"1,72m",left,"Jul 31, 2021","Jun 30, 2026"
Hugo Mallo,€3.50m,Right-Back,"Jun 22, 1991 (31)",Spain,"1,74m",right,"Jul 1, 2009","Jun 30, 2023"
Kevin Vázquez,€1.00m,Right-Back,"Mar 23, 1993 (30)",Spain,"1,75m",right,"Jul 1, 2018","Jun 30, 2023"
Renato Tapia,€7.50m,Defensive Midfield,"Jul 28, 1995 (27)",Peru,"1,85m",right,"Aug 4, 2020","Jun 30, 2024"
Fran Beltrán,€15.00m,Central Midfield,"Feb 3, 1999 (24)",Spain,"1,65m",right,"Aug 1, 2018","Jun 30, 2026"
Luca de la Torre,€3.00m,Central Midfield,"May 23, 1998 (24)",United States,"1,77m",right,"Jul 8, 2022","Jun 30, 2026"
Gabri Veiga,€30.00m,Attacking Midfield,"May 27, 2002 (20)",Spain,"1,84m",right,"Jul 1, 2022","Jun 30, 2026"
Óscar Rodríguez,€10.00m,Attacking Midfield,"Jun 28, 1998 (24)",Spain,"1,74m",right,"Jul 8, 2022","Jun 30, 2023"
Williot Swedberg,€4.00m,Attacking Midfield,"Feb 1, 2004 (19)",Sweden,"1,87m",right,"Jul 1, 2022","Jun 30, 2027"
Franco Cervi,€3.00m,Left Winger,"May 26, 1994 (28)",Argentina,"1,66m",left,"Jul 5, 2021","Jun 30, 2024"
Carles Pérez,€5.00m,Right Winger,"Feb 16, 1998 (25)",Spain,"1,73m",left,"Aug 9, 2022","Jun 30, 2023"
Augusto Solari,€2.50m,Right Winger,"Jan 3, 1992 (31)",Argentina,"1,76m",right,"Jan 23, 2021","Jun 30, 2023"
Jörgen Strand Larsen,€11.00m,Centre-Forward,"Feb 6, 2000 (23)",Norway,"1,93m",right,"Sep 1, 2022","Jun 30, 2028"
Iago Aspas,€7.00m,Centre-Forward,"Aug 1, 1987 (35)",Spain,"1,76m",left,"Jul 7, 2015","Jun 30, 2025"
Haris Seferovic,€6.00m,Centre-Forward,"Feb 22, 1992 (31)",Switzerland,"1,89m",left,"Jan 31, 2023","Jun 30, 2023"
Gonçalo Paciência,€2.50m,Centre-Forward,"Aug 1, 1994 (28)",Portugal,"1,84m",right,"Aug 6, 2022","Jun 30, 2025"
David Soria,€10.00m,Goalkeeper,"Apr 4, 1993 (29)",Spain,"1,92m",right,"Jul 13, 2018","Jun 30, 2023"
Kiko Casilla,€400k,Goalkeeper,"Oct 2, 1986 (36)",Spain,"1,90m",right,"Aug 10, 2022","Jun 30, 2023"
Diego Conde,€300k,Goalkeeper,"Oct 28, 1998 (24)",Spain,"1,88m",,"Jul 28, 2021","Jun 30, 2024"
Domingos Duarte,€8.00m,Centre-Back,"Mar 10, 1995 (28)",Portugal,"1,92m",right,"Jul 11, 2022","Jun 30, 2026"
Djené,€6.00m,Centre-Back,"Dec 31, 1991 (31)",Togo,"1,78m",right,"Jul 24, 2017","Jun 30, 2025"
Gastón Álvarez,€5.00m,Centre-Back,"Mar 24, 2000 (23)",Uruguay,"1,84m",left,"Jan 28, 2022","Jun 30, 2023"
Omar Alderete,€4.00m,Centre-Back,"Dec 26, 1996 (26)",Paraguay,"1,88m",left,"Aug 19, 2022","Jun 30, 2023"
Stefan Mitrović,€2.00m,Centre-Back,"May 22, 1990 (32)",Serbia,"1,89m",both,"Jul 6, 2021","Jun 30, 2024"
Fabrizio Angileri,€3.00m,Left-Back,"Mar 15, 1994 (29)",Argentina,"1,85m",left,"Jul 14, 2022","Jun 30, 2026"
Jordan Amavi,€3.00m,Left-Back,"Mar 9, 1994 (29)",France,"1,76m",left,"Sep 1, 2022","Jun 30, 2023"
Juan Iglesias,€3.50m,Right-Back,"Jul 3, 1998 (24)",Spain,"1,87m",right,"Jul 1, 2021","Jun 30, 2026"
Damián Suárez,€1.00m,Right-Back,"Apr 27, 1988 (34)",Uruguay,"1,73m",right,"Jul 8, 2015","Jun 30, 2023"
Ángel Algobia,€1.50m,Defensive Midfield,"Jun 23, 1999 (23)",Spain,"1,88m",right,"Aug 11, 2022","Jun 30, 2023"
Mauro Arambarri,€13.00m,Central Midfield,"Sep 30, 1995 (27)",Uruguay,"1,75m",right,"Jul 1, 2018","Jun 30, 2028"
Carles Aleñá,€10.00m,Central Midfield,"Jan 5, 1998 (25)",Spain,"1,80m",left,"Jul 10, 2021","Jun 30, 2026"
Nemanja Maksimović,€8.00m,Central Midfield,"Jan 26, 1995 (28)",Serbia,"1,84m",right,"Jul 16, 2018","Jun 30, 2024"
Luis Milla,€5.00m,Central Midfield,"Oct 7, 1994 (28)",Spain,"1,75m",right,"Jul 25, 2022","Jun 30, 2027"
Gonzalo Villar,€4.50m,Central Midfield,"Mar 23, 1998 (25)",Spain,"1,81m",right,"Jan 13, 2023","Jun 30, 2023"
Jaime Seoane,€3.50m,Central Midfield,"Jan 22, 1997 (26)",Spain,"1,77m",right,"Jul 1, 2022","Jun 30, 2025"
Portu,€4.50m,Right Winger,"May 21, 1992 (30)",Spain,"1,67m",right,"Jul 1, 2022","Jun 30, 2023"
Enes Ünal,€25.00m,Centre-Forward,"May 10, 1997 (25)",Turkey,"1,87m",right,"Aug 12, 2020","Jun 30, 2025"
Borja Mayoral,€9.00m,Centre-Forward,"Apr 5, 1997 (25)",Spain,"1,82m",right,"Aug 1, 2022","Jun 30, 2027"
Munir El Haddadi,€4.00m,Centre-Forward,"Sep 1, 1995 (27)",Morocco,"1,75m",left,"Aug 31, 2022","Jun 30, 2023"
Jaime Mata,€1.50m,Centre-Forward,"Oct 24, 1988 (34)",Spain,"1,86m",right,"Jul 1, 2018","Jun 30, 2024"
Juanmi Latasa,€1.00m,Centre-Forward,"Mar 23, 2001 (22)",Spain,"1,92m",left,"Aug 26, 2022","Jun 30, 2023"
Giorgi Mamardashvili,€25.00m,Goalkeeper,"Sep 29, 2000 (22)",Georgia,"1,97m",left,"Jan 1, 2022","Jun 30, 2027"
Jaume Doménech,€1.50m,Goalkeeper,"Nov 5, 1990 (32)",Spain,"1,85m",right,"Jul 1, 2015","Jun 30, 2025"
Iago Herrerín,€500k,Goalkeeper,"Jan 25, 1988 (35)",Spain,"1,87m",right,"Sep 28, 2022","Jun 30, 2023"
Cristian Rivero,€200k,Goalkeeper,"Mar 21, 1998 (25)",Spain,"1,88m",right,"Aug 1, 2020","Jun 30, 2024"
Mouctar Diakhaby,€8.00m,Centre-Back,"Dec 19, 1996 (26)",Guinea,"1,92m",right,"Jul 1, 2018","Jun 30, 2027"
Eray Cömert,€4.00m,Centre-Back,"Feb 4, 1998 (25)",Switzerland,"1,83m",right,"Jan 25, 2022","Jun 30, 2026"
Gabriel Paulista,€3.00m,Centre-Back,"Nov 26, 1990 (32)",Brazil,"1,87m",right,"Aug 18, 2017","Jun 30, 2024"
Cenk Özkacar,€1.80m,Centre-Back,"Oct 6, 2000 (22)",Turkey,"1,90m",left,"Aug 23, 2022","Jun 30, 2023"
Cristhian Mosquera,€1.00m,Centre-Back,"Jun 27, 2004 (18)",Colombia,"1,91m",right,-,"Jun 30, 2025"
José Gayà,€35.00m,Left-Back,"May 25, 1995 (27)",Spain,"1,72m",left,"Jul 1, 2014","Jun 30, 2027"
Jesús Vázquez,€5.00m,Left-Back,"Jan 2, 2003 (20)",Spain,"1,82m",left,"Jan 1, 2022","Jun 30, 2025"
Toni Lato,€2.50m,Left-Back,"Nov 21, 1997 (25)",Spain,"1,71m",left,"Jul 1, 2017","Jun 30, 2023"
Thierry Correia,€12.00m,Right-Back,"Mar 9, 1999 (24)",Portugal,"1,76m",right,"Sep 2, 2019","Jun 30, 2026"
Dimitri Foulquier,€3.00m,Right-Back,"Mar 23, 1993 (30)",Guadeloupe,"1,83m",right,"Aug 30, 2021","Jun 30, 2025"
Hugo Guillamón,€22.00m,Defensive Midfield,"Jan 31, 2000 (23)",Spain,"1,78m",right,"Jul 1, 2020","Jun 30, 2026"
Yunus Musah,€22.00m,Central Midfield,"Nov 29, 2002 (20)",United States,"1,78m",right,"Aug 1, 2020","Jun 30, 2026"
André Almeida,€15.00m,Central Midfield,"May 30, 2000 (22)",Portugal,"1,76m",right,"Aug 25, 2022","Jun 30, 2028"
Nico González,€10.00m,Central Midfield,"Jan 3, 2002 (21)",Spain,"1,88m",right,"Aug 13, 2022","Jun 30, 2023"
Ilaix Moriba,€6.00m,Central Midfield,"Jan 19, 2003 (20)",Guinea,"1,85m",right,"Sep 1, 2022","Jun 30, 2023"
Samuel Lino,€16.00m,Left Winger,"Dec 23, 1999 (23)",Brazil,"1,78m",right,"Jul 28, 2022","Jun 30, 2023"
Justin Kluivert,€12.00m,Left Winger,"May 5, 1999 (23)",Netherlands,"1,72m",both,"Sep 1, 2022","Jun 30, 2023"
Samu Castillejo,€8.00m,Right Winger,"Jan 18, 1995 (28)",Spain,"1,82m",left,"Jul 12, 2022","Jun 30, 2025"
Hugo Duro,€5.00m,Centre-Forward,"Nov 10, 1999 (23)",Spain,"1,82m",left,"Jul 1, 2022","Jun 30, 2026"
Edinson Cavani,€4.00m,Centre-Forward,"Feb 14, 1987 (36)",Uruguay,"1,84m",right,"Aug 29, 2022","Jun 30, 2024"
Marcos André,€3.00m,Centre-Forward,"Oct 20, 1996 (26)",Brazil,"1,85m",right,"Aug 25, 2021","Jun 30, 2026"
Conan Ledesma,€10.00m,Goalkeeper,"Feb 13, 1993 (30)",Argentina,"1,86m",right,"Jul 1, 2021","Jun 30, 2025"
David Gil,€700k,Goalkeeper,"Jan 11, 1994 (29)",Spain,"1,86m",right,"Jul 1, 2018","Jun 30, 2025"
Víctor Chust,€3.00m,Centre-Back,"Mar 5, 2000 (23)",Spain,"1,82m",both,"Jul 6, 2022","Jun 30, 2026"
Fali,€2.50m,Centre-Back,"Aug 12, 1993 (29)",Spain,"1,86m",right,"Jul 1, 2019","Jun 30, 2024"
Jorge Meré,€1.50m,Centre-Back,"Apr 17, 1997 (25)",Spain,"1,82m",right,"Jan 31, 2023","Jun 30, 2023"
Luis Hernández,€1.00m,Centre-Back,"Apr 14, 1989 (33)",Spain,"1,82m",right,"Jan 31, 2022","Jun 30, 2025"
Juan Cala,€800k,Centre-Back,"Nov 26, 1989 (33)",Spain,"1,86m",right,"Jul 17, 2019","Jun 30, 2024"
Momo Mbaye,€700k,Centre-Back,"Jun 28, 1998 (24)",Senegal,"1,92m",left,"Aug 9, 2022","Jun 30, 2024"
Alfonso Espino,€4.00m,Left-Back,"Jan 5, 1992 (31)",Uruguay,"1,72m",left,"Jan 28, 2019","Jun 30, 2023"
Santiago Arzamendia,€1.50m,Left-Back,"May 5, 1998 (24)",Paraguay,"1,72m",left,"Jul 8, 2021","Jun 30, 2025"
Joseba Zaldua,€2.50m,Right-Back,"Jun 24, 1992 (30)",Spain,"1,74m",right,"Jul 11, 2022","Jun 30, 2025"
Iza Carcelén,€1.50m,Right-Back,"Apr 23, 1993 (29)",Spain,"1,70m",right,"Jul 1, 2019","Jun 30, 2023"
Raúl Parra,€300k,Right-Back,"Nov 26, 1999 (23)",Spain,"1,87m",right,"Jul 1, 2022","Jun 30, 2024"
José Mari,€400k,Defensive Midfield,"Dec 6, 1987 (35)",Spain,"1,82m",right,"Aug 16, 2016","Jun 30, 2025"
Jon Ander Garrido,€300k,Defensive Midfield,"Oct 9, 1989 (33)",Spain,"1,85m",right,"Jul 21, 2014","Jun 30, 2023"
Rubén Alcaraz,€2.00m,Central Midfield,"May 1, 1991 (31)",Spain,"1,80m",right,"Jul 1, 2022","Jun 30, 2024"
Gonzalo Escalante,€2.00m,Central Midfield,"Mar 27, 1993 (30)",Argentina,"1,82m",right,"Jan 25, 2023","Jun 30, 2023"
Fede San Emeterio,€2.00m,Central Midfield,"Mar 16, 1997 (26)",Spain,"1,76m",right,"Aug 7, 2022","Jun 30, 2026"
Youba Diarra,€1.00m,Central Midfield,"Mar 24, 1998 (25)",Mali,"1,78m",right,"Jan 1, 2023","Jun 30, 2027"
Álex Fernández,€5.00m,Attacking Midfield,"Oct 15, 1992 (30)",Spain,"1,83m",right,"Aug 7, 2017","Jun 30, 2025"
Brian Ocampo,€2.00m,Left Winger,"Jun 25, 1999 (23)",Uruguay,"1,72m",right,"Aug 28, 2022","Jun 30, 2026"
Théo Bongonda,€4.00m,Right Winger,"Nov 20, 1995 (27)",DR Congo,"1,77m",left,"Aug 26, 2022","Jun 30, 2026"
Iván Alejo,€1.20m,Right Winger,"Feb 10, 1995 (28)",Spain,"1,86m",right,"Aug 4, 2020","Jun 30, 2025"
Antony Lozano,€2.80m,Centre-Forward,"Apr 25, 1993 (29)",Honduras,"1,83m",right,"Aug 4, 2020","Jun 30, 2023"
Roger Martí,€2.50m,Centre-Forward,"Jan 3, 1991 (32)",Spain,"1,79m",right,"Jan 26, 2023","Jun 30, 2023"
Sergi Guardiola,€2.50m,Centre-Forward,"May 29, 1991 (31)",Spain,"1,85m",left,"Jan 31, 2023","Jun 30, 2023"
Rubén Sobrino,€2.00m,Centre-Forward,"Jun 1, 1992 (30)",Spain,"1,85m",right,"Aug 30, 2021","Jun 30, 2024"
Chris Ramos,€1.50m,Centre-Forward,"Jan 18, 1997 (26)",Spain,"1,90m",right,"Jan 31, 2023","Jun 30, 2028"
Álvaro Negredo,€1.20m,Centre-Forward,"Aug 20, 1985 (37)",Spain,"1,86m",left,"Aug 4, 2020","Jun 30, 2023"
Jan Oblak,€40.00m,Goalkeeper,"Jan 7, 1993 (30)",Slovenia,"1,88m",right,"Jul 16, 2014","Jun 30, 2028"
