Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Moussa Djenepo,ml MLI,"DF,FW",24-239,6.4,304,13,81,140,87,11,304,30,13,43.3,13,43.3,169,1250,665,23,10,2,12,4,155,32,Matches
Ainsley Maitland-Niles,eng ENG,"MF,DF",25-164,6.0,332,24,106,170,59,3,332,3,3,100.0,0,0.0,130,663,263,3,4,1,6,5,191,9,Matches
Samuel Edozie,eng ENG,"FW,MF",20-012,5.9,254,4,46,76,136,29,254,34,10,29.4,15,44.1,169,1419,672,22,20,10,22,9,170,34,Matches
Sekou Mara,fr FRA,"FW,MF",20-194,3.6,125,1,14,56,60,16,125,17,7,41.2,10,58.8,75,396,141,2,7,0,15,11,84,19,Matches
Jan Bednarek,pl POL,DF,26-303,2.8,169,20,87,78,5,4,169,0,0,,0,,72,182,60,0,1,0,0,0,76,1,Matches
Juan Larios,es ESP,DF,19-028,1.7,106,10,32,55,20,2,106,4,3,75.0,1,25.0,38,338,201,10,2,1,3,2,47,1,Matches
Theo Walcott,eng ENG,"FW,MF",33-330,1.5,50,0,6,19,27,3,50,2,0,0.0,2,100.0,25,163,130,3,2,2,4,2,28,9,Matches
James Bree,eng ENG,DF,25-121,1.0,55,4,17,20,18,1,55,2,1,50.0,1,50.0,26,110,46,1,2,0,0,1,25,2,Matches
Oriol Romeu,es ESP,MF,31-138,0.8,37,2,5,19,14,1,37,1,1,100.0,0,0.0,18,128,66,2,1,0,1,0,20,0,Matches
Yan Valery,tn TUN,DF,23-352,0.5,28,3,7,18,3,0,28,0,0,,0,,17,91,18,0,1,0,1,3,20,0,Matches
Carlos Alcaraz,ar ARG,MF,20-071,0.6,29,2,6,15,9,1,29,0,0,,0,,22,122,84,3,4,0,2,0,20,0,Matches
Jack Stephens,eng ENG,DF,29-013,0.5,33,4,8,17,8,0,33,0,0,,0,,16,135,86,3,2,0,0,1,25,0,Matches
Paul Onuachu,ng NGA,FW,28-257,0.5,18,1,2,10,6,2,18,0,0,,0,,7,21,0,0,0,0,2,2,14,2,Matches
Kamaldeen Sulemana,gh GHA,MF,20-359,0.5,23,0,4,8,11,2,23,4,2,50.0,2,50.0,17,103,15,1,1,0,1,0,19,4,Matches
Mislav Oršić,hr CRO,MF,30-042,0.1,4,0,2,0,2,0,4,0,0,,0,,2,10,7,0,0,0,0,0,1,0,Matches
Nathan Redmond,eng ENG,DF,28-340,0.0,1,0,0,0,1,0,1,0,0,,0,,1,1,1,0,0,0,0,0,1,1,Matches
Squad Total,,,25.1,21.0,11637,1321,4019,4871,2877,423,11636,361,150,41.6,174,48.2,6139,33358,15843,310,256,69,317,224,6617,611,
Opponent Total,,,27.5,21.0,13802,1356,4499,6153,3280,512,13801,316,121,38.3,153,48.4,7648,38354,19042,321,220,109,337,247,8837,928,
