Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-01-22,14:00,Premier League,Matchweek 21,Sun,Away,L,0,3,Manchester City,0.8,2.8,45.0,53282.0,Rúben Neves,4-3-3,David Coote,Match Report,
2023-02-04,15:00,Premier League,Matchweek 22,Sat,Home,W,3,0,Liverpool,2.0,1.8,41.0,31664.0,Rúben Neves,4-4-2,Paul Tierney,Match Report,
2023-02-11,15:00,Premier League,Matchweek 23,Sat,Away,W,2,1,Southampton,0.8,1.1,59.0,29751.0,Rúben Neves,4-2-3-1,Jarred Gillett,Match Report,
2023-02-18,15:00,Premier League,Matchweek 24,Sat,Home,L,0,1,Bournemouth,1.3,1.1,68.0,31222.0,Rúben Neves,4-2-3-1,Michael Salisbury,Match Report,
2023-02-24,20:00,Premier League,Matchweek 25,Fri,Away,D,1,1,Fulham,0.8,0.5,49.0,24399.0,Rúben Neves,4-4-2,Michael Oliver,Match Report,
2023-03-01,20:00,Premier League,Matchweek 7,Wed,Away,L,0,2,Liverpool,0.8,2.6,43.0,53259.0,Rúben Neves,4-2-3-1,Paul Tierney,Match Report,
2023-03-04,15:00,Premier League,Matchweek 26,Sat,Home,W,1,0,Tottenham,0.5,1.2,46.0,31585.0,Rúben Neves,4-2-3-1,Tim Robinson,Match Report,
2023-03-12,16:30,Premier League,Matchweek 27,Sun,Away,L,1,2,Newcastle Utd,1.1,1.8,57.0,52240.0,Rúben Neves,4-2-3-1,Andy Madley,Match Report,
2023-03-18,15:00,Premier League,Matchweek 28,Sat,Home,,,,Leeds United,,,,,,,,Head-to-Head,
2023-04-01,15:00,Premier League,Matchweek 29,Sat,Away,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
2023-04-08,15:00,Premier League,Matchweek 30,Sat,Home,,,,Chelsea,,,,,,,,Head-to-Head,
2023-04-15,15:00,Premier League,Matchweek 31,Sat,Home,,,,Brentford,,,,,,,,Head-to-Head,
2023-04-22,15:00,Premier League,Matchweek 32,Sat,Away,,,,Leicester City,,,,,,,,Head-to-Head,
2023-04-25,19:30,Premier League,Matchweek 33,Tue,Home,,,,Crystal Palace,,,,,,,,Head-to-Head,
2023-04-29,15:00,Premier League,Matchweek 34,Sat,Away,,,,Brighton,,,,,,,,Head-to-Head,
2023-05-06,15:00,Premier League,Matchweek 35,Sat,Home,,,,Aston Villa,,,,,,,,Head-to-Head,
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Home,,,,Everton,,,,,,,,Head-to-Head,
2023-05-28,15:00,Premier League,Matchweek 38,Sun,Away,,,,Arsenal,,,,,,,,Head-to-Head,
