Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-10-19,19:30,Premier League,Matchweek 12,Wed,Away,D,0.0,0.0,Brentford,0.9,1.3,66.0,17118.0,César Azpilicueta,3-5-1-1,Jarred Gillett,Match Report,
2022-10-22,17:30,Premier League,Matchweek 13,Sat,Home,D,1.0,1.0,Manchester Utd,1.1,0.8,48.0,39503.0,César Azpilicueta,3-4-3,Stuart Attwell,Match Report,
2022-10-25,18:45,Champions Lg,Group stage,Tue,Away,W,2.0,1.0,at RB Salzburg,1.5,1.6,69.0,29520.0,Jorginho,3-5-2,Sandro Schärer,Match Report,
2022-10-29,15:00,Premier League,Matchweek 14,Sat,Away,L,1.0,4.0,Brighton,1.4,2.4,59.0,31746.0,Thiago Silva,3-4-3,Andy Madley,Match Report,
2022-11-02,20:00,Champions Lg,Group stage,Wed,Home,W,2.0,1.0,hr Dinamo Zagreb,2.7,0.9,58.0,39392.0,César Azpilicueta,4-3-1-2,François Letexier,Match Report,
2022-11-06,12:00,Premier League,Matchweek 15,Sun,Home,L,0.0,1.0,Arsenal,0.3,2.1,45.0,40142.0,César Azpilicueta,4-2-3-1,Michael Oliver,Match Report,
2022-11-09,20:00,EFL Cup,Third round,Wed,Away,L,0.0,2.0,Manchester City,,,45.0,35674.0,Mateo Kovačić,3-4-3,Simon Hooper,Match Report,
2022-11-12,17:30,Premier League,Matchweek 16,Sat,Away,L,0.0,1.0,Newcastle Utd,0.3,1.0,51.0,52264.0,César Azpilicueta,3-4-3,Robert Jones,Match Report,
2022-12-27,17:30,Premier League,Matchweek 17,Tue,Home,W,2.0,0.0,Bournemouth,1.8,0.5,60.0,40046.0,Jorginho,4-3-3,Simon Hooper,Match Report,
2023-01-01,16:30,Premier League,Matchweek 18,Sun,Away,D,1.0,1.0,Nott'ham Forest,0.9,1.4,71.0,29229.0,César Azpilicueta,4-3-3,Peter Bankes,Match Report,
2023-01-05,20:00,Premier League,Matchweek 19,Thu,Home,L,0.0,1.0,Manchester City,0.4,2.1,48.0,39998.0,César Azpilicueta,4-2-3-1,Paul Tierney,Match Report,
2023-01-08,16:30,FA Cup,Third round proper,Sun,Away,L,0.0,4.0,Manchester City,,,42.0,51505.0,Jorginho,4-3-3,Robert Jones,Match Report,
2023-01-12,20:00,Premier League,Matchweek 7,Thu,Away,L,1.0,2.0,Fulham,2.1,1.0,52.0,24460.0,César Azpilicueta,3-5-2,David Coote,Match Report,
2023-01-15,14:00,Premier League,Matchweek 20,Sun,Home,W,1.0,0.0,Crystal Palace,1.5,0.7,61.0,40075.0,Jorginho,4-2-3-1,Peter Bankes,Match Report,
2023-01-21,12:30,Premier League,Matchweek 21,Sat,Away,D,0.0,0.0,Liverpool,1.6,1.4,52.0,53126.0,Jorginho,3-4-3,Michael Oliver,Match Report,
2023-02-03,20:00,Premier League,Matchweek 22,Fri,Home,D,0.0,0.0,Fulham,1.3,0.6,66.0,40041.0,Thiago Silva,4-3-3,Stuart Attwell,Match Report,
2023-02-11,12:30,Premier League,Matchweek 23,Sat,Away,D,1.0,1.0,West Ham,1.1,1.3,71.0,62471.0,Thiago Silva,4-2-3-1,Craig Pawson,Match Report,
2023-02-15,21:00,Champions Lg,Round of 16,Wed,Away,L,0.0,1.0,de Dortmund,2.1,1.5,52.0,81365.0,Thiago Silva,4-2-3-1,Jesús Gil,Match Report,Leg 1 of 2
2023-02-18,15:00,Premier League,Matchweek 24,Sat,Home,L,0.0,1.0,Southampton,1.6,0.6,62.0,40152.0,César Azpilicueta,4-2-3-1,David Coote,Match Report,
2023-02-26,13:30,Premier League,Matchweek 25,Sun,Away,L,0.0,2.0,Tottenham,0.4,0.8,59.0,61613.0,Thiago Silva,4-2-3-1,Stuart Attwell,Match Report,
2023-03-04,15:00,Premier League,Matchweek 26,Sat,Home,W,1.0,0.0,Leeds United,1.5,1.0,57.0,39905.0,Mateo Kovačić,3-4-3,Michael Oliver,Match Report,
2023-03-07,20:00,Champions Lg,Round of 16,Tue,Home,W,2.0,0.0,de Dortmund,2.0,0.8,40.0,38882.0,Mateo Kovačić,3-4-3,Danny Makkelie,Match Report,Leg 2 of 2; Chelsea won
2023-03-11,15:00,Premier League,Matchweek 27,Sat,Away,W,3.0,1.0,Leicester City,1.6,2.4,52.0,32170.0,Mateo Kovačić,3-4-3,Andre Marriner,Match Report,
2023-03-18,17:30,Premier League,Matchweek 28,Sat,Home,,,,Everton,,,,,,,,Head-to-Head,
2023-04-01,17:30,Premier League,Matchweek 29,Sat,Home,,,,Aston Villa,,,,,,,,Head-to-Head,
2023-04-04,20:00,Premier League,Matchweek 8,Tue,Home,,,,Liverpool,,,,,,,,Head-to-Head,
2023-04-08,15:00,Premier League,Matchweek 30,Sat,Away,,,,Wolves,,,,,,,,Head-to-Head,
2023-04-12,21:00,Champions Lg,Quarter-finals,Wed,Away,,,,es Real Madrid,,,,,,,,Head-to-Head,Leg 1 of 2
2023-04-15,15:00,Premier League,Matchweek 31,Sat,Home,,,,Brighton,,,,,,,,Head-to-Head,
2023-04-18,20:00,Champions Lg,Quarter-finals,Tue,Home,,,,es Real Madrid,,,,,,,,Head-to-Head,Leg 2 of 2
2023-04-22,17:30,Premier League,Matchweek 32,Sat,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,
2023-04-26,19:45,Premier League,Matchweek 33,Wed,Home,,,,Brentford,,,,,,,,Head-to-Head,
2023-04-29,17:30,Premier League,Matchweek 34,Sat,Away,,,,Arsenal,,,,,,,,Head-to-Head,
2023-05-06,15:00,Premier League,Matchweek 35,Sat,Away,,,,Bournemouth,,,,,,,,Head-to-Head,
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,,,,Manchester City,,,,,,,,Head-to-Head,
2023-05-28,15:00,Premier League,Matchweek 38,Sun,Home,,,,Newcastle Utd,,,,,,,,Head-to-Head,
