Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Joël Matip,cm CMR,DF,31-185,9,7,642.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,18.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Luis Díaz,co COL,FW,26-027,8,7,613.0,6.8,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,1.7,1.7,1.0,2.7,21.0,25.0,72.0,0.44,0.29,0.73,0.44,0.73,0.26,0.15,0.4,0.26,0.4,Matches
James Milner,eng ENG,"DF,MF",37-036,14,5,546.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.7,1.1,12.0,40.0,52.0,0.0,0.16,0.16,0.0,0.16,0.06,0.12,0.18,0.06,0.18,Matches
Kostas Tsimikas,gr GRE,DF,26-273,13,5,446.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.8,1.5,18.0,18.0,60.0,0.0,0.61,0.61,0.0,0.61,0.13,0.17,0.3,0.13,0.3,Matches
Ibrahima Konaté,fr FRA,DF,23-260,5,4,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Fabio Carvalho,pt POR,"MF,FW",20-163,11,4,337.0,3.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,0.1,1.2,7.0,11.0,24.0,0.53,0.0,0.53,0.53,0.53,0.3,0.03,0.32,0.3,0.32,Matches
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",29-178,8,4,314.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.9,2.2,11.0,12.0,24.0,0.29,0.0,0.29,0.29,0.29,0.37,0.25,0.62,0.37,0.62,Matches
Cody Gakpo,nl NED,FW,23-278,3,3,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.1,4.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.35,0.05,0.4,0.35,0.4,Matches
Naby Keïta,gn GUI,MF,27-364,6,2,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.3,4.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.47,0.23,0.47,Matches
Diogo Jota,pt POR,"FW,MF",26-067,4,2,196.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,8.0,9.0,18.0,0.0,0.46,0.46,0.0,0.46,0.35,0.38,0.73,0.35,0.73,Matches
Stefan Bajcetic,es ESP,MF,18-110,5,2,194.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,3.0,10.0,0.0,0.46,0.0,0.46,0.46,0.46,0.27,0.11,0.38,0.27,0.38,Matches
Curtis Jones,eng ENG,"MF,FW",22-010,6,1,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,6.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches
Nathaniel Phillips,eng ENG,DF,25-325,2,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Ben Doak,sct SCO,FW,17-090,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bobby Clark,eng ENG,MF,18-002,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrián,es ESP,GK,36-037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luke Chambers,eng ENG,DF,18-230,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Harvey Davies,eng ENG,GK,19-159,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sepp van den Berg,nl NED,"DF,MF",21-051,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Caoimhín Kelleher,ie IRL,GK,24-078,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arthur Melo,br BRA,MF,26-181,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Calvin Ramsay,sct SCO,DF,19-193,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.2,20,220,1800.0,20.0,30.0,24.0,54.0,30.0,0.0,0.0,22.0,1.0,35.4,35.4,27.7,63.1,373.0,1063.0,1052.0,1.5,1.2,2.7,1.5,2.7,1.77,1.39,3.15,1.77,3.15,
Opponent Total,,,27.0,20,220,1800.0,20.0,26.0,18.0,44.0,24.0,2.0,3.0,27.0,0.0,29.2,27.1,21.0,48.1,269.0,648.0,640.0,1.3,0.9,2.2,1.2,2.1,1.46,1.05,2.51,1.36,2.4,
