Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Bogdan Milovanov,ua UKR,DF,24-352,10.3,336,497,67.6,5610,2200,173,199,86.9,133,194,68.6,27,76,35.5,0,0.1,0.3,-0.1,3,18,2,2,18,Matches
Nino Galović,hr CRO,DF,30-274,9.5,386,441,87.5,7421,2409,134,139,96.4,218,235,92.8,32,61,52.5,1,0.2,0.0,0.8,1,8,1,0,11,Matches
Arsénio Martins Lafuente Nunes,pt POR,"FW,MF",33-219,9.4,236,331,71.3,3622,1113,130,154,84.4,85,113,75.2,15,40,37.5,2,1.7,1.4,0.3,14,11,9,3,28,Matches
Oriol Busquets,es ESP,MF,24-076,6.5,301,348,86.5,5531,1559,127,140,90.7,122,141,86.5,43,49,87.8,0,0.0,0.2,0.0,2,29,3,0,22,Matches
Emilijus Zubas,lt LTU,GK,32-270,3.0,69,105,65.7,2294,1878,12,12,100.0,25,27,92.6,31,64,48.4,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Moses Yaw,gh GHA,MF,24-089,3.4,104,140,74.3,2118,791,39,48,81.3,49,58,84.5,14,26,53.8,0,0.2,0.0,-0.2,1,11,0,0,10,Matches
Vitinho,br BRA,"MF,FW",23-092,2.7,59,92,64.1,987,456,27,35,77.1,19,25,76.0,8,21,38.1,2,1.0,0.7,1.0,12,5,5,3,11,Matches
Benji Michel,us USA,FW,25-165,2.0,33,49,67.3,414,59,23,29,79.3,8,13,61.5,1,2,50.0,1,0.8,0.2,0.2,1,2,0,0,1,Matches
Rafael Fernandes,pt POR,"DF,FW",20-282,1.5,52,55,94.5,875,430,23,23,100.0,28,31,90.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,6,Matches
Mosquito,br BRA,GK,26-298,1.0,23,25,92.0,551,381,4,4,100.0,14,14,100.0,5,7,71.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Weverson,br BRA,"DF,FW",22-275,0.8,29,39,74.4,485,168,17,20,85.0,9,12,75.0,3,4,75.0,0,0.2,0.0,-0.2,1,3,1,1,2,Matches
Bruninho,br BRA,FW,24-043,1.8,35,58,60.3,467,56,25,32,78.1,8,15,53.3,1,6,16.7,0,0.0,0.0,0.0,1,2,0,0,3,Matches
Pedro Manuel da Silva Moreira,pt POR,MF,33-326,0.8,49,53,92.5,753,141,29,33,87.9,15,15,100.0,5,5,100.0,0,0.0,0.0,0.0,0,4,0,0,2,Matches
Yusuf Lawal,ng NGA,"FW,MF",25-014,0.3,7,7,100.0,67,26,7,7,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
José Manuel Velázquez,ve VEN,DF,32-210,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.7,26.0,9104,11819,77.0,169652,67104,3874,4433,87.4,3900,4656,83.8,1131,2153,52.5,20,20.4,18.8,-0.4,203,685,135,34,783,
Opponent Total,,,26.9,26.0,10005,12873,77.7,185170,69260,4257,4927,86.4,4349,5139,84.6,1199,2147,55.8,17,22.5,23.9,-5.5,229,907,208,72,1143,
